Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,154,0,7,6.828470525914628,4.3616790062515065,14.977671002270654,0.0,0.8595969086974098,0.0,6,7,7,8,8,9,11,14,15,15,15
GET,get_address,153,0,44,45.46260535349884,43.346773003577255,52.20757900679018,283.0,0.854015110588985,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_basket,154,0,2,2.3957385061506797,0.8158229902619496,47.98016899439972,23020.0,0.8595969086974098,0.0,1,2,2,2,2,3,8,44,48,48,48
GET,get_card,154,0,44,45.82145862986618,43.1070170016028,52.489088993752375,17.0,0.8595969086974098,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,5471,0,46,46.14212820133904,42.08660600124858,80.08524701290298,207.55218424419667,30.53801745119175,0.0,44,46,48,48,50,51,52,52,56,80,80
GET,get_catalogue1,3260,0,3,3.053719544626288,1.7460430099163204,20.360283000627533,1643.0,18.19666183346465,0.0,3,3,3,3,4,4,5,6,9,20,20
GET,get_catalogue2,275,0,46,46.59304019307125,42.29445100645535,51.56349499884527,22.0,1.5349944798168034,0.0,46,46,47,47,50,50,51,51,52,52,52
GET,get_catalogue3,275,0,3,3.3729943417711183,1.9642920087790117,7.322528006625362,1927.0,1.5349944798168034,0.0,3,3,4,4,4,4,5,6,7,7,7
GET,get_category,275,0,2,2.236684840013781,1.018364986521192,47.972259009839036,11518.0,1.5349944798168034,0.0,1,2,2,2,2,3,5,44,48,48,48
GET,get_customer,2211,0,44,45.5600274348833,43.00953600613866,60.325714002829045,352.8358208955224,12.341355617727098,0.0,44,44,48,48,48,48,52,52,53,60,60
GET,get_customer_orders,1354,0,2,2.416085475764961,0.7725380128249526,48.0167799978517,6368.0,7.557754638807097,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_detail,429,0,2,2.5518955289720533,0.8357280021300539,48.08277799747884,10364.0,2.394591388514213,0.0,1,2,2,2,2,3,42,44,48,48,48
GET,get_index,3107,0,2,2.026146194440811,0.8122260042000562,48.20368699438404,8688.0,17.342646722875664,0.0,1,2,2,2,2,3,4,6,48,48,48
GET,get_item,2089,0,44,45.66964535221112,42.17398200125899,59.827750010299496,286.0,11.660376248499281,0.0,44,44,48,48,48,49,51,52,56,60,60
GET,get_orders,1507,0,47,47.18683014918953,42.62314199877437,56.0669630067423,2.0,8.411769749396083,0.0,46,47,49,50,51,51,51,52,55,56,56
GET,get_related,429,0,44,45.430306228334175,43.233192001935095,52.34194999502506,760.0,2.394591388514213,0.0,44,44,48,48,48,48,51,52,52,52,52
GET,get_tags,275,0,44,45.41505945089739,43.21155199431814,68.67257900012191,107.0,1.5349944798168034,0.0,44,44,48,48,48,48,52,53,69,69,69
GET,login,1355,0,48,49.266269009554335,43.958761991234496,79.65688199328724,13.0,7.563336436915522,0.0,48,48,52,52,52,52,53,56,60,80,80
,Aggregated,22927,0,44,29.172192069498017,0.7725380128249526,80.08524701290298,2425.16822959829,127.973885231854,0.0,3,44,47,48,48,50,52,52,56,69,80
