Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1266,0,11,18.742714443365514,4.967195010976866,83.63906299928203,0.0,7.0620029854779975,0.0,9,11,21,26,49,56,62,65,73,84,84
GET,get_address,1264,0,51,54.39726183157049,43.048915002145804,107.75613399164286,283.0,7.050846582657337,0.0,48,51,54,56,75,88,95,98,100,110,110
GET,get_basket,1264,0,4,7.793458889921832,0.884734996361658,68.58556299994234,23020.0,7.050846582657337,0.0,2,4,7,8,20,39,46,49,67,69,69
GET,get_card,1264,0,50,55.54570641312768,43.064476994914,111.43115100276191,17.0,7.050846582657337,0.0,47,50,56,59,82,90,95,100,100,110,110
GET,get_cart,14563,0,49,54.25707375502846,42.061453001224436,127.47141599538736,409.9138913685367,81.23534713863829,0.0,47,49,54,57,79,88,96,100,120,130,130
GET,get_catalogue1,6965,0,5,10.65796676180603,1.7414160101907328,71.7019319999963,1643.0,38.85217282294965,0.0,3,5,12,14,33,42,49,53,66,72,72
GET,get_catalogue2,1602,0,50,55.49077784333226,42.0813209930202,114.26456998742651,22.0,8.936278659348936,0.0,46,50,58,61,80,87,92,95,100,110,110
GET,get_catalogue3,1602,0,7,10.042183629388122,1.8426320020807907,70.13981499767397,1927.0,8.936278659348936,0.0,4,7,10,12,20,38,50,54,61,70,70
GET,get_category,1602,0,4,12.876917255484484,0.8977120014606044,95.53516500454862,11518.0,8.936278659348936,0.0,3,4,28,33,39,43,48,50,85,96,96
GET,get_customer,7598,0,51,56.83489833956241,42.67191899998579,117.30000800162088,359.40076335877865,42.38317431568865,0.0,48,51,58,68,84,90,96,99,110,120,120
GET,get_customer_orders,1872,0,4,9.820866677316197,0.9067200007848442,91.2456220103195,6368.0,10.442393040138082,0.0,3,4,8,11,35,41,47,51,70,91,91
GET,get_detail,2867,0,3,6.198148179181022,0.9086820064112544,90.31092100485694,10364.0,15.992703443416604,0.0,2,3,5,6,12,34,45,49,81,90,90
GET,get_index,5702,0,4,9.115022333631916,0.7795809942763299,86.43403400492389,8688.0,31.806904441702642,0.0,2,4,8,10,35,41,46,49,71,86,86
GET,get_item,7262,0,49,52.99419181355024,42.06811499898322,132.08560399652924,286.0,40.50889864181771,0.0,46,49,53,56,71,84,93,98,120,130,130
GET,get_orders,3134,0,51,56.5103164090294,42.73233799904119,248.74765001004562,2.0,17.482083219974758,0.0,48,51,57,60,83,91,100,100,150,250,250
GET,get_related,2863,0,50,53.46668729329416,42.96238000097219,109.90458600281272,760.0,15.970390637775283,0.0,47,50,55,56,65,83,93,98,110,110,110
GET,get_tags,1602,0,49,54.50886052492481,42.51475998898968,111.50359900784679,107.0,8.936278659348936,0.0,47,49,53,57,81,88,95,98,110,110,110
GET,login,1882,0,61,69.19301147673369,43.875032002688386,111.8105409987038,13.0,10.498175054241385,0.0,52,61,88,91,96,99,100,100,110,110,110
,Aggregated,66174,0,47,39.51801520738148,0.7795809942763299,248.74765001004562,2520.9724665276394,369.1319001271888,0.0,9,47,52,53,68,85,93,98,110,140,250
