Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,385,0,7,7.305226098464851,4.493028987781145,16.28828700631857,0.0,2.148941930308829,0.0,6,7,8,8,9,10,12,13,16,16,16
GET,get_address,384,0,44,45.889968870331664,43.2601060019806,57.075531003647484,283.0,2.143360262957377,0.0,44,44,48,48,48,52,52,56,57,57,57
GET,get_basket,385,0,2,2.4600885531414516,1.0185749997617677,47.734378997120075,23020.0,2.148941930308829,0.0,1,2,2,2,3,3,6,44,48,48,48
GET,get_card,385,0,44,45.79146091218482,43.19728999689687,52.57332600012887,17.0,2.148941930308829,0.0,44,44,48,48,48,49,52,52,53,53,53
GET,get_cart,4746,0,46,46.542635457505106,42.26309200748801,77.11858200491406,405.44500632111254,26.490593249988837,0.0,44,46,48,48,50,51,52,52,60,77,77
GET,get_catalogue1,2315,0,3,3.111649362264014,1.7184790049213916,16.22941500681918,1643.0,12.92155991861023,0.0,3,3,3,4,4,4,5,6,10,16,16
GET,get_catalogue2,506,0,46,46.44825617187351,41.950784012442455,54.59962200256996,22.0,2.824323679834461,0.0,45,46,47,49,50,51,51,51,55,55,55
GET,get_catalogue3,506,0,3,3.400077788711879,2.0378570043249056,11.430010999902152,1927.0,2.824323679834461,0.0,3,3,4,4,4,5,6,8,11,11,11
GET,get_category,506,0,2,2.3430532790141148,0.8624409965705127,47.97678301110864,11518.0,2.824323679834461,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_customer,2430,0,44,45.66508572361908,43.02427600487135,64.02801400690805,355.82469135802467,13.563451664027154,0.0,44,44,48,48,48,49,52,52,56,64,64
GET,get_customer_orders,651,0,2,2.397996786427105,0.962548001552932,48.00122600863688,6368.0,3.6336654457949287,0.0,1,2,2,2,2,3,5,44,48,48,48
GET,get_detail,891,0,2,2.294186111410252,0.8490280015394092,47.91515599936247,10364.0,4.973265610143289,0.0,1,2,2,2,2,3,5,44,48,48,48
GET,get_index,1931,0,2,2.1548821818547017,0.763614007155411,48.01931499969214,8688.0,10.778199655652854,0.0,1,2,2,2,2,3,4,8,48,48,48
GET,get_item,2307,0,45,45.74473828432088,41.832834991510026,56.083619012497365,286.0,12.876906579798618,0.0,44,45,48,48,49,50,51,51,54,56,56
GET,get_orders,1035,0,47,47.033755900113334,42.61277799378149,59.08529400767293,2.0,5.777025708752306,0.0,46,47,48,49,50,51,52,53,55,59,59
GET,get_related,891,0,44,45.79741321107246,43.049026004155166,60.62692998966668,760.0,4.973265610143289,0.0,44,44,48,48,48,51,52,52,61,61,61
GET,get_tags,506,0,44,45.28324027485817,42.987813998479396,52.5570399913704,107.0,2.824323679834461,0.0,44,44,48,48,48,48,51,52,53,53,53
GET,login,652,0,48,49.26465957240199,43.96519099827856,64.4322860025568,13.0,3.6392471131463804,0.0,48,48,52,52,52,52,53,56,64,64,64
,Aggregated,21412,0,44,30.931236579541686,0.763614007155411,77.11858200491406,2519.2756398281335,119.51466132927959,0.0,3,44,47,48,48,50,52,52,56,74,77
