Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1708651860,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1708651861,5,,Aggregated,0.000000,0.000000,4,44,48,48,49,52,56,56,56,56,56,144,0,44,30.06329613870346,1.1978489928878844,56.473172997357324,2859.8680555555557
1708651862,8,,Aggregated,0.000000,0.000000,4,44,48,48,49,51,54,56,56,56,56,254,0,44,31.36995341285044,1.0940369975287467,56.473172997357324,2536.334645669291
1708651863,8,,Aggregated,25.000000,0.000000,3,44,48,48,49,51,52,56,56,56,56,394,0,44,30.03013217938428,1.0940369975287467,56.473172997357324,2615.6827411167515
1708651864,8,,Aggregated,86.000000,0.000000,4,44,48,48,49,51,52,54,56,56,56,509,0,44,31.22242609175491,1.0940369975287467,56.473172997357324,2518.296660117878
1708651865,8,,Aggregated,85.666667,0.000000,3,44,48,48,49,51,52,53,56,56,56,602,0,44,30.686299213658064,1.0940369975287467,56.473172997357324,2585.4501661129566
1708651866,8,,Aggregated,102.000000,0.000000,3,44,48,48,49,51,52,53,56,56,56,770,0,44,31.14632951793436,1.039027003571391,56.473172997357324,2528.2727272727275
1708651867,8,,Aggregated,104.600000,0.000000,3,44,48,48,48,51,52,53,56,56,56,834,0,44,31.22608797676773,1.039027003571391,56.473172997357324,2514.571942446043
1708651868,8,,Aggregated,103.000000,0.000000,3,44,48,48,49,51,52,53,56,56,56,976,0,44,31.129315569294285,1.039027003571391,56.473172997357324,2577.2561475409834
1708651869,8,,Aggregated,111.714286,0.000000,3,44,48,48,49,51,52,53,56,56,56,1090,0,44,31.357421616141455,1.039027003571391,56.473172997357324,2504.5412844036696
1708651870,8,,Aggregated,106.000000,0.000000,3,44,48,48,49,51,52,53,56,56,56,1206,0,44,30.972974092419072,1.039027003571391,56.473172997357324,2534.9560530679933
1708651871,8,,Aggregated,111.000000,0.000000,3,44,48,48,49,51,52,53,56,60,60,1354,0,44,31.26007212953404,0.9477949934080243,60.10446298751049,2500.728212703102
1708651872,8,,Aggregated,109.400000,0.000000,3,44,48,48,49,51,52,53,56,60,60,1435,0,44,30.922253791912937,0.9477949934080243,60.10446298751049,2524.0738675958187
1708651873,8,,Aggregated,120.300000,0.000000,3,44,48,48,49,51,52,53,56,60,60,1582,0,44,31.150722988908694,0.9477949934080243,60.10446298751049,2524.4740834386853
1708651874,8,,Aggregated,118.700000,0.000000,3,44,48,48,49,51,52,53,58,60,60,1665,0,44,31.383637660347322,0.9477949934080243,60.10446298751049,2493.2774774774775
1708651875,8,,Aggregated,119.600000,0.000000,3,44,48,48,49,51,52,53,58,60,60,1818,0,44,31.057923704272927,0.9477949934080243,60.10446298751049,2551.5742574257424
