Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,153,0,7,6.852233230198728,4.353084979811683,19.63190399692394,0.0,0.8540124261205443,0.0,6,7,7,7,9,9,12,14,20,20,20
GET,get_address,153,0,44,45.57628601255334,43.35482799797319,52.388323994819075,283.0,0.8540124261205443,0.0,44,44,48,48,48,48,51,52,52,52,52
GET,get_basket,153,0,2,3.1601188824591198,1.0603679984342307,43.986277014482766,23020.0,0.8540124261205443,0.0,1,2,2,2,2,4,44,44,44,44,44
GET,get_card,153,0,44,45.542043255409226,43.38741599349305,52.26316099287942,17.0,0.8540124261205443,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,get_cart,6533,0,46,46.12442388341523,42.053577984916046,79.52637498965487,114.80973519057095,36.46577241729095,0.0,44,46,48,48,49,51,52,52,61,80,80
GET,get_catalogue1,3327,0,3,2.976184694449436,1.6915309824980795,17.775229003746063,1643.0,18.570583932699677,0.0,3,3,3,3,4,4,5,7,12,18,18
GET,get_catalogue2,1243,0,46,46.435837216456314,41.84856900246814,54.6861210023053,22.0,6.938153239659062,0.0,45,46,47,49,50,50,51,51,54,55,55
GET,get_catalogue3,1243,0,3,3.384851476153035,1.8777939840219915,33.587690006243065,1927.0,6.938153239659062,0.0,3,3,4,4,4,5,6,8,18,34,34
GET,get_category,1243,0,2,2.521531426902053,0.8273019921034575,47.91169200325385,11518.0,6.938153239659062,0.0,1,2,2,2,3,3,7,44,48,48,48
GET,get_customer,3210,0,44,45.63991335571332,42.88979197735898,56.060626986436546,180.41308411214953,17.91751560684279,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_customer_orders,420,0,2,2.0855365282927996,0.9204110247083008,47.95780099811964,6368.0,2.3443478364093373,0.0,1,2,2,2,2,3,3,29,48,48,48
GET,get_detail,1396,0,2,2.1510441034468877,0.8467700099572539,48.02426998503506,10364.0,7.792165665779606,0.0,1,2,2,2,3,3,4,9,48,48,48
GET,get_index,3174,0,2,1.9674813055505074,0.7995399937499315,48.57901399373077,8688.0,17.716571506579132,0.0,1,2,2,2,2,3,4,5,44,49,49
GET,get_item,2122,0,46,46.08555734568198,42.01266300515272,56.511971983127296,286.0,11.844538354430032,0.0,44,46,48,48,50,50,51,52,55,57,57
GET,get_orders,573,0,47,46.99567009608121,42.58715198375285,54.586382990237325,2.0,3.1983602625298815,0.0,46,47,48,50,50,51,52,52,55,55,55
GET,get_related,1390,0,44,45.55213152363531,43.07206999510527,55.99840899230912,760.0,7.75867498240233,0.0,44,44,48,48,48,48,52,52,56,56,56
GET,get_tags,1243,0,44,45.407892696589215,42.88170699146576,56.599976000143215,107.0,6.938153239659062,0.0,44,44,48,48,48,48,51,52,56,57,57
GET,login,420,0,48,49.44116947084521,43.92631197697483,60.37344998912886,13.0,2.3443478364093373,0.0,48,48,52,52,52,53,56,56,60,60,60
,Aggregated,28149,0,44,28.904811122405224,0.7995399937499315,79.52637498965487,2615.517247504352,157.1215410644915,0.0,3,44,46,47,48,50,51,52,56,64,80
