Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1157,0,10,16.069226848270844,4.42693498916924,66.56716999714263,0.0,6.454621721412906,0.0,8,10,16,19,42,51,57,60,66,67,67
GET,get_address,1151,0,48,52.57307043171942,42.76414998457767,114.28489000536501,283.0,6.42114918007455,0.0,47,48,53,54,61,84,91,99,110,110,110
GET,get_basket,1153,0,3,5.629471069619226,0.9319149830844253,66.27606000984088,23020.0,6.4323066938540014,0.0,2,3,5,6,10,15,42,46,55,66,66
GET,get_card,1152,0,49,53.677516471275844,42.85804502433166,100.71136199985631,17.0,6.426727936964276,0.0,47,49,54,56,76,85,94,96,100,100,100
GET,get_cart,13425,0,48,52.37952269402374,42.16548599652015,248.4231459966395,308.9054748603352,74.89481124457066,0.0,46,48,52,54,68,83,91,96,130,250,250
GET,get_catalogue1,6439,0,4,9.254848069577092,1.7028400034178048,100.59573300532065,1643.0,35.92161561294529,0.0,3,4,9,12,29,40,48,51,66,100,100
GET,get_catalogue2,1470,0,49,53.95945145502658,42.08528398885392,106.79480401449837,22.0,8.200772627897123,0.0,46,49,55,59,77,83,89,93,100,110,110
GET,get_catalogue3,1470,0,6,9.353731547008731,1.9749869825318456,68.62853100756183,1927.0,8.200772627897123,0.0,4,6,10,11,19,34,44,52,61,69,69
GET,get_category,1471,0,3,9.210268018179542,0.8210729865822941,71.86364900553599,11518.0,8.20635138478685,0.0,2,3,6,10,35,40,46,49,63,72,72
GET,get_customer,6989,0,49,54.15415021335854,42.6293250056915,115.08092697476968,358.9472027471741,38.98993190229455,0.0,47,49,54,57,79,86,92,96,110,120,120
GET,get_customer_orders,1743,0,3,7.365560415177512,0.8817459747660905,83.19035000749864,6368.0,9.723773258792303,0.0,2,3,6,8,17,37,44,47,79,83,83
GET,get_detail,2626,0,3,5.291581244871743,0.8472449844703078,91.53203500318341,10364.0,14.649815592420302,0.0,2,3,4,5,10,25,41,47,65,92,92
GET,get_index,5288,0,3,6.969107914759463,0.8260009926743805,87.35602401429787,8688.0,29.500466432870738,0.0,2,3,5,7,19,37,44,48,67,87,87
GET,get_item,6670,0,48,51.50269914393675,41.90120700513944,131.39527599560097,286.0,37.21030845447198,0.0,46,48,52,53,61,80,88,93,110,130,130
GET,get_orders,2894,0,50,53.4626031838226,42.41196397924796,111.50255598477088,2.0,16.144922438866853,0.0,47,50,54,56,70,83,92,96,110,110,110
GET,get_related,2621,0,49,52.61018725279486,42.66863199882209,105.12496199226007,760.0,14.621921807971672,0.0,47,49,53,55,64,80,89,94,100,110,110
GET,get_tags,1470,0,48,52.58096032744261,42.62533999281004,108.6230950022582,107.0,8.200772627897123,0.0,46,48,52,53,75,85,93,96,110,110,110
GET,login,1752,0,55,64.76642064921363,43.896768998820335,171.31074899225496,13.0,9.773982070799835,0.0,49,55,83,88,93,98,100,110,120,170,170
,Aggregated,60941,0,47,37.50851547895539,0.8210729865822941,248.4231459966395,2498.699824420341,339.9750236167881,0.0,6,47,51,52,59,80,89,95,110,170,250
