Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1565,0,57,54.296647079219035,4.050176008604467,282.07697899779305,0.0,8.725701450593155,0.0,39,57,66,69,88,100,130,150,260,280,280
GET,get_address,1561,0,85,78.53009326383173,43.25001299730502,135.71340500493534,283.0,8.70339933825937,0.0,54,85,98,99,100,110,130,130,130,140,140
GET,get_basket,1561,0,18,23.011978609832855,1.056690001860261,121.68839300284162,23020.0,8.70339933825937,0.0,6,18,36,46,54,57,60,65,93,120,120
GET,get_card,1561,0,84,79.07398923260382,43.04438902181573,147.22888197866268,17.0,8.70339933825937,0.0,63,84,95,96,100,100,110,130,150,150,150
GET,get_cart,18446,0,68,73.43533164457192,42.23070599255152,338.6083980149124,312.84495283530305,102.84619102724686,0.0,49,68,94,97,100,130,130,140,210,310,340
GET,get_catalogue1,8936,0,32,29.774149697963107,1.9650979957077652,127.59422199451365,1643.0,49.822918953674396,0.0,10,32,38,41,57,69,92,97,120,130,130
GET,get_catalogue2,1942,0,74,70.44052080618806,42.008520977105945,148.9041649911087,22.0,10.827675538052336,0.0,53,74,79,80,87,100,130,140,150,150,150
GET,get_catalogue3,1941,0,49,38.3087232826066,2.078240009723231,147.52786001190543,1927.0,10.82210000996889,0.0,11,49,58,60,63,68,85,88,150,150,150
GET,get_category,1943,0,21,25.26606999607172,1.0223769932053983,95.6332239729818,11518.0,10.833251066135784,0.0,14,21,41,44,50,55,60,62,94,96,96
GET,get_customer,9517,0,85,79.46503089500298,43.06551400804892,151.00440400419757,362.24902805505934,53.06230077015658,0.0,61,85,96,97,100,110,120,130,140,150,150
GET,get_customer_orders,2514,0,20,23.844304981348536,0.7955869950819761,107.11318897665478,6368.0,14.01687760178351,0.0,8,20,37,44,52,56,61,65,98,110,110
GET,get_detail,3504,0,9,20.08555981183028,0.8697169832885265,131.30854000337422,10364.0,19.536650404395154,0.0,4,9,32,42,54,59,75,85,100,130,130
GET,get_index,7376,0,20,24.300709760011827,0.871210009790957,126.91342100151815,8688.0,41.12509514349848,0.0,9,20,38,44,52,57,62,69,95,130,130
GET,get_item,9139,0,67,71.63932855844516,41.78487599710934,199.1190089902375,286.0,50.95475115461396,0.0,50,67,91,96,100,120,130,140,150,200,200
GET,get_orders,4074,0,75,74.11223447199806,42.939264996675774,160.2142810006626,2.0,22.71470141195943,0.0,54,75,88,93,100,110,130,140,140,160,160
GET,get_related,3500,0,79,78.24735045701631,42.88597800768912,195.07869298104197,760.0,19.51434829206137,0.0,54,80,98,100,100,110,130,130,150,200,200
GET,get_tags,1942,0,85,79.41481813779542,42.547402990749106,148.71238500927575,107.0,10.827675538052336,0.0,64,85,95,96,100,100,110,130,140,150,150
GET,login,2527,0,96,93.42088723103689,43.934201006777585,295.85313799907453,13.0,14.089359466868308,0.0,86,96,100,100,110,140,160,180,270,300,300
,Aggregated,83549,0,54,59.06060660802637,0.7955869950819761,338.6083980149124,2494.2845276424614,465.82979584383867,0.0,39,54,87,92,100,110,130,130,170,270,340
