Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1252,0,12,21.34642537913197,5.010438006138429,152.19628901104443,0.0,6.984331567349885,0.0,9,12,30,35,52,57,63,73,120,150,150
GET,get_address,1248,0,49,54.179540214462556,43.173590005608276,105.0844079873059,283.0,6.962017408987745,0.0,47,49,55,57,75,87,95,98,100,110,110
GET,get_basket,1248,0,4,8.243453293475913,0.9753850172273815,83.60601900494657,23020.0,6.962017408987745,0.0,2,4,7,9,25,37,48,52,80,84,84
GET,get_card,1248,0,51,56.58541060097961,42.85659102606587,105.564315977972,17.0,6.962017408987745,0.0,48,51,60,68,81,91,96,98,100,110,110
GET,get_cart,14429,0,49,55.075469068068564,42.068917013239115,172.91174599085934,410.24034929655556,80.49274775183028,0.0,47,49,57,62,77,89,98,100,130,170,170
GET,get_catalogue1,6914,0,5,11.628162488917178,1.6580899828113616,86.8889790144749,1643.0,38.57002272895935,0.0,3,5,18,21,29,42,50,53,73,87,87
GET,get_catalogue2,1585,0,51,56.529744631391935,42.010281002148986,104.84233501483686,22.0,8.841985250998059,0.0,47,51,65,67,74,84,90,93,100,100,100
GET,get_catalogue3,1582,0,7,11.762081637463295,1.9692080095410347,63.921316992491484,1927.0,8.825249632226454,0.0,5,7,13,16,32,40,52,55,64,64,64
GET,get_category,1587,0,4,13.574353009571656,0.9155120060313493,79.68136802082881,11518.0,8.853142330179129,0.0,2,4,26,29,36,44,49,52,79,80,80
GET,get_customer,7513,0,51,57.180801899834535,42.82560999854468,128.87380202300847,359.58378810062555,41.91156794368985,0.0,48,51,64,70,82,91,96,99,110,130,130
GET,get_customer_orders,1863,0,4,9.826769586558784,0.8905970025807619,71.58159799291752,6368.0,10.392819257166803,0.0,3,4,10,14,30,40,48,52,62,72,72
GET,get_detail,2832,0,3,6.4661974836698946,0.8620129956398159,85.11465298943222,10364.0,15.79842412039527,0.0,2,3,5,6,15,30,44,49,79,85,85
GET,get_index,5666,0,4,9.581425715050433,0.7451490091625601,90.39923900854774,8688.0,31.608005319971607,0.0,2,4,10,15,31,39,47,50,76,90,90
GET,get_item,7183,0,49,53.474012140204124,41.96725698420778,133.67591699352488,286.0,40.070649878813285,0.0,46,49,55,59,71,82,92,97,120,130,130
GET,get_orders,3107,0,50,55.25034542263804,42.712126014521345,118.13104699831456,2.0,17.332522507792408,0.0,48,50,58,63,72,85,95,99,110,120,120
GET,get_related,2827,0,51,55.09339830865569,42.459965974558145,117.60140900150873,760.0,15.770531422442593,0.0,48,51,57,60,74,85,95,99,110,120,120
GET,get_tags,1582,0,49,56.625259604691955,42.51140297856182,114.67384800198488,107.0,8.825249632226454,0.0,47,49,63,72,81,92,98,100,110,110,110
GET,login,1874,0,65,68.84398683733215,44.119344995124266,180.32390798907727,13.0,10.454183192662688,0.0,52,65,87,90,96,99,100,110,170,180,180
,Aggregated,65540,0,47,40.138797305730456,0.7451490091625601,180.32390798907727,2521.9678211779064,365.61748476366733,0.0,10,47,52,55,71,84,94,99,120,150,180
