Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get_cart,1851,0,45,45.80101178908572,42.52212401479483,55.807960976380855,74.67639113992436,10.338311493931881,0.0,44,45,47,48,49,50,51,52,56,56,56
GET,get_catalogue1,992,0,3,3.135014115433742,2.061605977360159,8.256008033640683,1643.0,5.540575365737669,0.0,3,3,3,3,4,4,4,5,8,8,8
GET,get_catalogue2,363,0,46,46.659669516699196,42.38139797234908,50.82250299165025,22.0,2.0274484453253767,0.0,46,46,47,47,50,50,51,51,51,51,51
GET,get_catalogue3,363,0,3,3.423502902050064,2.1981680183671415,9.503312001470476,1927.0,2.0274484453253767,0.0,3,3,4,4,4,4,5,5,10,10,10
GET,get_category,363,0,2,1.7023636671180835,0.9615489980205894,3.2897049677558243,11518.0,2.0274484453253767,0.0,2,2,2,2,2,2,2,3,3,3,3
GET,get_customer,859,0,44,45.048123999142085,43.0542990216054,55.82184699596837,129.9138533178114,4.797736128194211,0.0,44,44,47,48,48,48,51,52,56,56,56
GET,get_customer_orders,133,0,2,1.7575589967086296,0.9942559991031885,8.863887982442975,6368.0,0.7428392375434576,0.0,2,2,2,2,2,2,3,4,9,9,9
GET,get_detail,363,0,2,2.3048075865928506,0.9480779990553856,44.883974944241345,10364.0,2.0274484453253767,0.0,2,2,2,2,2,2,2,44,45,45,45
GET,get_index,992,0,2,1.68811328465733,0.9928530198521912,4.2817319626919925,8688.0,5.540575365737669,0.0,2,2,2,2,2,2,2,3,4,4,4
GET,get_item,496,0,46,45.986492471133865,42.14014403987676,53.615181997884065,286.0,2.7702876828688345,0.0,44,46,47,47,50,50,51,51,54,54,54
GET,get_orders,133,0,46,47.1143230136757,43.41118800221011,54.26070897374302,2.0,0.7428392375434576,0.0,46,46,47,49,50,51,51,51,54,54,54
GET,get_related,363,0,44,45.18385462112694,43.52466796990484,52.57986398646608,760.0,2.0274484453253767,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_tags,363,0,44,44.896428520597524,43.468180985655636,51.84584204107523,107.0,2.0274484453253767,0.0,44,44,44,48,48,48,48,48,52,52,52
GET,login,133,0,48,49.02037265938112,47.293260984588414,53.052383998874575,13.0,0.7428392375434576,0.0,48,48,52,52,52,52,52,52,53,53,53
,Aggregated,7767,0,44,27.864228323427486,0.9480779990553856,55.82184699596837,2633.493369383288,43.3806944210529,0.0,3,44,46,46,48,49,51,52,54,56,56
