Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get_cart,1864,0,45,45.94055626128176,42.27814404293895,56.930326973088086,74.71351931330472,10.403441153313285,0.0,44,45,48,48,49,50,52,52,56,57,57
GET,get_catalogue1,1000,0,3,3.3651988558704033,1.9420619937591255,10.442034050356597,1643.0,5.581245253923436,0.0,3,3,4,4,4,5,6,8,10,10,10
GET,get_catalogue2,366,0,46,46.67218117860192,42.34898398863152,54.68583002220839,22.0,2.0427357629359775,0.0,46,46,47,49,50,50,51,51,55,55,55
GET,get_catalogue3,366,0,3,3.521136077543303,1.6868700040504336,8.316153020132333,1927.0,2.0427357629359775,0.0,3,3,4,4,4,5,6,7,8,8,8
GET,get_category,366,0,2,2.4605322237345364,0.9589530527591705,48.0644769850187,11518.0,2.0427357629359775,0.0,2,2,2,2,3,3,3,44,48,48,48
GET,get_customer,864,0,44,45.38352735579355,43.16353000467643,52.56852600723505,129.99305555555554,4.822195899389849,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_customer_orders,134,0,2,2.044049544266856,1.0863899951800704,43.86793199228123,6368.0,0.7478868640257404,0.0,2,2,2,2,2,2,3,4,44,44,44
GET,get_detail,366,0,2,1.852266764957865,0.9812030475586653,3.864163998514414,10364.0,2.0427357629359775,0.0,2,2,2,2,2,3,3,4,4,4,4
GET,get_index,1000,0,2,1.97057984652929,0.8896490326151252,47.89537901524454,8688.0,5.581245253923436,0.0,2,2,2,2,2,3,3,5,48,48,48
GET,get_item,499,0,46,46.14543872264835,42.215962952468544,53.66063502151519,286.0,2.785041381707795,0.0,44,46,47,48,50,50,51,51,54,54,54
GET,get_orders,134,0,46,46.991305478758164,42.770285974256694,54.06861600931734,2.0,0.7478868640257404,0.0,46,46,47,47,50,51,51,51,54,54,54
GET,get_related,364,0,44,45.36102781108079,43.33901801146567,52.12620401289314,760.0,2.0315732724281306,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_tags,366,0,44,45.12087014075012,43.245862994808704,52.91881103767082,107.0,2.0427357629359775,0.0,44,44,47,48,48,48,49,52,53,53,53
GET,login,134,0,48,48.72045154577302,47.48625302454457,56.06506101321429,13.0,0.7478868640257404,0.0,48,48,48,49,52,52,52,52,56,56,56
,Aggregated,7823,0,44,28.03030632136182,0.8896490326151252,56.930326973088086,2635.6339000383487,43.66208162144304,0.0,3,44,46,47,48,49,51,52,54,57,57
