Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,154,0,7,7.00785914230366,4.575625993311405,9.961487026885152,0.0,0.8595339854652627,0.0,6,7,8,8,8,9,9,10,10,10,10
GET,get_address,154,0,44,45.35188959713408,43.223368003964424,52.58620897075161,283.0,0.8595339854652627,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_basket,154,0,2,2.284302937498848,0.9134169667959213,48.03284601075575,23020.0,0.8595339854652627,0.0,1,2,2,2,2,2,3,44,48,48,48
GET,get_card,154,0,44,45.654247618089855,43.42398198787123,52.71753395209089,17.0,0.8595339854652627,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_cart,4274,0,46,46.290775026480425,42.34959400491789,56.76947796018794,301.9761347683669,23.854858791419044,0.0,44,46,48,48,50,51,52,52,55,57,57
GET,get_catalogue1,2464,0,3,3.1390793208558607,1.7022729734890163,13.510564982425421,1643.0,13.752543767444203,0.0,3,3,3,4,4,4,6,7,10,14,14
GET,get_catalogue2,275,0,46,46.63239259166982,42.3325999872759,50.99119199439883,22.0,1.5348821169022548,0.0,46,46,47,50,50,50,51,51,51,51,51
GET,get_catalogue3,275,0,3,3.4314907204613765,1.9685410079546273,10.553091997280717,1927.0,1.5348821169022548,0.0,3,3,4,4,4,4,5,9,11,11,11
GET,get_category,275,0,2,2.1446352955800565,0.9217060287483037,44.00413896655664,11518.0,1.5348821169022548,0.0,1,2,2,2,2,2,3,44,44,44,44
GET,get_customer,1812,0,44,45.55157207866933,43.10996498679742,55.95605704002082,345.5331125827815,10.113477803006859,0.0,44,44,48,48,48,48,52,52,53,56,56
GET,get_customer_orders,955,0,2,2.2858110683146102,0.8715580333955586,47.90088097797707,6368.0,5.330226987787831,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_detail,429,0,2,2.0443060476602097,0.8881710236892104,47.93233796954155,10364.0,2.3944161023675177,0.0,1,2,2,2,2,2,4,6,48,48,48
GET,get_index,2310,0,2,2.158549928395642,0.8116100216284394,48.070780001580715,8688.0,12.893009781978941,0.0,1,2,2,2,2,3,4,8,48,48,48
GET,get_item,1690,0,44,45.52261188826744,42.10927296662703,55.886374961119145,286.0,9.432548282053858,0.0,44,44,48,48,48,49,51,52,53,56,56
GET,get_orders,1108,0,46,47.06317965565997,42.541515023913234,57.88977205520496,2.0,6.184179583737086,0.0,46,46,48,50,50,51,52,52,54,58,58
GET,get_related,429,0,44,45.47788845394176,43.384175980463624,52.16356099117547,760.0,2.3944161023675177,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_tags,275,0,44,45.10979535460303,43.13647001981735,52.29480500565842,107.0,1.5348821169022548,0.0,44,44,48,48,48,48,49,52,52,52,52
GET,login,956,0,48,49.2680415461326,43.8968000235036,60.179331980179995,13.0,5.335808377303839,0.0,48,48,52,52,52,52,55,56,60,60,60
,Aggregated,18143,0,44,29.43642579293133,0.8116100216284394,60.179331980179995,2464.3186904040126,101.26314998893677,0.0,3,44,47,48,48,50,52,52,56,59,60
