Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1294,0,13,22.055972489383333,4.256815998815,72.64703797409311,0.0,7.217938373287402,0.0,9,13,35,40,52,58,63,65,72,73,73
GET,get_address,1289,0,51,55.28991751173581,42.94897703221068,121.20243400568143,283.0,7.190048348661098,0.0,48,51,56,58,79,90,96,100,120,120,120
GET,get_basket,1291,0,4,9.214164405719591,0.9616080205887556,86.48736798204482,23020.0,7.201204358511619,0.0,3,4,8,10,31,41,49,53,79,86,86
GET,get_card,1289,0,52,58.91022229138357,42.92704304680228,121.87620799522847,17.0,7.190048348661098,0.0,48,52,64,76,89,94,99,100,120,120,120
GET,get_cart,15116,0,49,55.838353066086064,42.166782019194216,135.27309300843626,311.28479756549353,84.3171224502414,0.0,47,49,57,61,83,91,97,100,120,130,140
GET,get_catalogue1,7282,0,6,12.700836735411972,1.6534079913981259,85.25788900442421,1643.0,40.61903186574873,0.0,4,6,16,18,37,45,52,55,68,85,85
GET,get_catalogue2,1623,0,52,56.6255501410132,42.219864029902965,104.37778604682535,22.0,9.053101993698187,0.0,47,52,61,64,78,86,91,94,100,100,100
GET,get_catalogue3,1623,0,7,12.336901936637615,2.1281460067257285,77.07024802220985,1927.0,9.053101993698187,0.0,5,7,13,15,33,47,53,57,71,77,77
GET,get_category,1623,0,5,15.863883783263272,0.9106509969569743,90.95630201045424,11518.0,9.053101993698187,0.0,3,5,33,35,41,45,49,52,83,91,91
GET,get_customer,7836,0,52,59.44228795861099,42.507522040978074,120.54727401118726,360.9046707503828,43.709246594343185,0.0,48,52,71,77,88,93,97,100,110,120,120
GET,get_customer_orders,2012,0,5,12.59376146999224,0.9464549948461354,100.49662995152175,6368.0,11.222945909624615,0.0,3,5,14,28,38,44,50,53,87,100,100
GET,get_detail,2917,0,3,6.978577139173092,0.8530549821443856,99.99818995129317,10364.0,16.271040366985588,0.0,2,3,5,7,15,38,47,51,79,100,100
GET,get_index,5993,0,4,11.972200013654023,0.8363249944522977,99.98481499496847,8688.0,33.42898351708764,0.0,2,4,13,27,38,45,50,54,82,100,100
GET,get_item,7504,0,49,54.61213227711835,41.94227699190378,133.5290569695644,286.0,41.85734895915662,0.0,47,49,56,59,78,88,96,100,110,130,130
GET,get_orders,3299,0,51,56.62291910547044,42.752139968797565,111.96088197175413,2.0,18.40183824843519,0.0,48,51,59,62,80,90,96,100,110,110,110
GET,get_related,2910,0,51,55.001487037950255,42.96482302015647,109.66147994622588,760.0,16.231994332508762,0.0,48,51,56,60,73,86,95,98,110,110,110
GET,get_tags,1623,0,50,58.00054334675737,42.447504005394876,106.986534956377,107.0,9.053101993698187,0.0,47,50,67,77,88,93,98,100,110,110,110
GET,login,2022,0,73,72.72573169321973,43.87386195594445,147.4327350151725,13.0,11.278725958877223,0.0,52,73,92,93,97,100,100,110,120,150,150
,Aggregated,68546,0,47,41.4748706865785,0.8363249944522977,147.4327350151725,2496.6576313716337,382.3499256069229,0.0,12,47,53,56,77,88,96,99,110,130,150
