Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,7.663950554495355,5.069612001534551,16.093037003884092,0.0,1.2892009102468143,0.0,7,7,8,9,9,11,12,12,16,16,16
GET,get_address,231,0,44,45.57458610307663,43.371590989409015,52.49774601543322,283.0,1.2892009102468143,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_basket,231,0,2,2.946271584772412,1.0392320109531283,44.259568996494636,23020.0,1.2892009102468143,0.0,1,2,2,2,3,3,44,44,44,44,44
GET,get_card,231,0,44,45.8875717227327,43.182040011743084,52.843908983049914,17.0,1.2892009102468143,0.0,44,44,48,48,48,52,52,52,53,53,53
GET,get_cart,2480,0,47,46.71626103201209,42.54244000185281,56.61847398732789,452.27258064516127,13.840771677108654,0.0,44,47,48,48,50,51,52,52,54,57,57
GET,get_catalogue1,1192,0,3,3.3079678304413345,1.8431089993100613,13.762229995336384,1643.0,6.652499935126418,0.0,3,3,4,4,4,4,5,7,14,14,14
GET,get_catalogue2,231,0,46,46.589366536541114,42.370511015178636,56.93956499453634,22.0,1.2892009102468143,0.0,46,46,47,49,50,51,51,53,57,57,57
GET,get_catalogue3,231,0,3,3.6594769262277334,2.0359120098873973,10.652516997652128,1927.0,1.2892009102468143,0.0,3,3,4,4,5,5,7,8,11,11,11
GET,get_category,231,0,2,2.0020079176098884,0.8837259956635535,43.86386199621484,11518.0,1.2892009102468143,0.0,1,2,2,2,3,3,3,3,44,44,44
GET,get_customer,1288,0,44,45.69622247657642,43.029508990002796,56.057947978843,386.0,7.188271741982237,0.0,44,44,48,48,48,49,52,52,53,56,56
GET,get_customer_orders,365,0,2,2.34007260336362,0.9340490214526653,44.08936598338187,6368.0,2.037049057316395,0.0,2,2,2,2,2,3,3,44,44,44,44
GET,get_detail,462,0,2,2.1527162140731204,0.9043929749168456,48.16252697492018,10364.0,2.5784018204936285,0.0,1,2,2,2,2,3,4,42,48,48,48
GET,get_index,961,0,2,2.0713562048432825,0.8505329897161573,48.065823008073494,8688.0,5.363299024879604,0.0,2,2,2,2,2,3,3,6,48,48,48
GET,get_item,1288,0,45,45.70057138771065,41.96936899097636,55.6761930056382,286.0,7.188271741982237,0.0,44,45,47,48,49,50,51,52,54,56,56
GET,get_orders,595,0,46,46.809989089310605,42.44825500063598,56.61528799100779,2.0,3.3206690112417943,0.0,46,46,48,48,50,51,52,54,57,57,57
GET,get_related,462,0,44,45.8522689801155,42.768593004439026,52.36574201262556,760.0,2.5784018204936285,0.0,44,44,48,48,48,50,52,52,52,52,52
GET,get_tags,231,0,44,45.516469195969925,42.57013101596385,52.12402401957661,107.0,1.2892009102468143,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,login,365,0,48,48.987270025249366,44.264491996727884,59.78073799633421,13.0,2.037049057316395,0.0,48,48,49,52,52,52,53,56,60,60,60
,Aggregated,11306,0,44,31.349439799725833,0.8505329897161573,59.78073799633421,2501.93286750398,63.0982921699155,0.0,3,44,47,48,48,50,52,52,56,57,60
