Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,479,0,10,16.93073723738379,5.221442988840863,65.86557999253273,0.0,2.672152802045901,0.0,8,10,18,24,44,51,56,60,66,66,66
GET,get_address,479,0,48,51.12555775403032,43.16939500859007,101.96810201159678,283.0,2.672152802045901,0.0,47,48,52,53,59,72,92,97,100,100,100
GET,get_basket,479,0,3,5.697558029729286,0.9453339735046029,53.189861006103456,23020.0,2.672152802045901,0.0,2,3,5,7,13,20,33,47,53,53,53
GET,get_card,479,0,48,52.436612315193045,42.55762399407104,100.19768300116993,17.0,2.672152802045901,0.0,47,48,53,57,67,76,89,94,100,100,100
GET,get_cart,14982,0,48,52.770015307396484,42.0039780146908,136.17338801850565,411.6387665198238,83.5786916080411,0.0,46,48,52,55,71,79,92,96,120,130,140
GET,get_catalogue1,8812,0,4,9.148737753985213,1.7305429792031646,82.47696998296306,1643.0,49.15868578628074,0.0,3,4,7,10,30,35,44,50,77,82,82
GET,get_catalogue2,817,0,49,53.964663454177,42.03721499652602,104.61253899848089,22.0,4.55772200265449,0.0,46,49,57,64,76,80,87,93,100,100,100
GET,get_catalogue3,816,0,5,9.113202494821357,1.9667889864649624,87.39542798139155,1927.0,4.552143395552098,0.0,3,5,9,11,19,36,48,55,87,87,87
GET,get_category,818,0,3,8.058892126250067,0.8791510190349072,71.88103499356657,11518.0,4.563300609756882,0.0,2,3,11,15,22,28,43,48,72,72,72
GET,get_customer,6170,0,48,52.51742417699011,42.875131010077894,133.0100370105356,353.097244732577,34.42000582176035,0.0,47,48,53,56,67,79,91,96,100,130,130
GET,get_customer_orders,3583,0,3,6.913414435036701,0.8196179987862706,86.85336200869642,6368.0,19.98814924787153,0.0,2,3,6,10,20,25,37,46,63,87,87
GET,get_detail,1294,0,2,4.964846651821212,0.8296849846374243,57.55341099575162,10364.0,7.218717590495607,0.0,2,2,4,5,10,21,39,45,57,58,58
GET,get_index,8336,0,3,6.196489278047636,0.8053590136114508,89.06198901240714,8688.0,46.50326880554202,0.0,2,3,6,7,16,24,37,46,60,89,89
GET,get_item,5829,0,48,52.04480894238846,42.07112800213508,133.27576400479302,286.0,32.51770079984458,0.0,46,48,52,55,67,78,89,93,100,130,130
GET,get_orders,4060,0,49,54.14122133416134,42.46540999156423,126.08734800596721,2.0,22.649144835712644,0.0,46,49,56,63,75,79,87,92,110,130,130
GET,get_related,1293,0,48,51.65932180405157,42.83136400044896,102.15911400155164,760.0,7.213138983393214,0.0,47,48,53,55,62,71,88,92,100,100,100
GET,get_tags,816,0,48,51.34365567748461,42.605800001183525,100.13563299435191,107.0,4.552143395552098,0.0,44,48,52,53,64,76,92,95,100,100,100
GET,login,3590,0,56,64.482949939631,46.58232899964787,141.90837502246723,13.0,20.027199497588274,0.0,51,56,77,84,92,97,100,110,130,140,140
,Aggregated,63132,0,46,35.79851644157313,0.8053590136114508,141.90837502246723,2478.1238040930116,352.18862358822923,0.0,5,46,51,52,64,76,89,95,110,130,140
