Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,523,0,46,37.988664620323554,5.393943982198834,150.80258800298907,0.0,2.9167940689762144,0.0,13,46,54,55,60,88,100,100,150,150,150
GET,get_address,523,0,54,60.576809357395874,43.059865973191336,144.71116400090978,283.0,2.9167940689762144,0.0,51,54,60,65,90,94,99,100,140,140,140
GET,get_basket,523,0,7,10.062735466485536,1.2456420226953924,51.81855199043639,23020.0,2.9167940689762144,0.0,5,7,10,11,17,44,47,49,52,52,52
GET,get_card,523,0,54,61.50301922750205,43.40365799725987,137.50255899503827,17.0,2.9167940689762144,0.0,51,54,63,84,91,95,99,100,140,140,140
GET,get_cart,17963,0,58,68.03529070168366,42.372695985250175,175.84369899122976,301.17207593386405,100.18044332890963,0.0,50,58,86,88,92,96,100,130,140,150,180
GET,get_catalogue1,10603,0,12,26.25975414980558,2.0110849873162806,101.29936900921166,1643.0,59.13339868710287,0.0,7,12,46,47,50,53,56,88,97,100,100
GET,get_catalogue2,1028,0,55,68.03720725131433,43.11037398292683,140.46409900765866,22.0,5.733201343991488,0.0,49,56,87,88,92,95,99,100,140,140,140
GET,get_catalogue3,1027,0,11,19.283778529255784,2.2669470054097474,98.12718600733206,1927.0,5.727624299882547,0.0,8,11,18,43,51,54,57,93,96,98,98
GET,get_category,1028,0,8,11.929786750948933,1.148688024841249,103.79013197962195,11518.0,5.733201343991488,0.0,5,8,12,13,40,45,49,52,96,100,100
GET,get_customer,7362,0,54,61.8777472311221,42.970134993083775,148.25676300097257,344.80154849225755,41.05819873002464,0.0,51,54,64,85,92,96,99,100,140,150,150
GET,get_customer_orders,4269,0,7,11.859632898900083,1.0181120014749467,98.31120900344104,6368.0,23.80840130106971,0.0,5,7,11,13,39,46,50,53,95,98,98
GET,get_detail,1550,0,7,13.559445253227867,0.8729850233066827,90.34236799925566,10364.0,8.64441836885876,0.0,4,7,12,21,43,46,50,52,86,90,90
GET,get_index,10082,0,7,11.661147996123123,0.8867979922797531,100.01842302153818,8688.0,56.22775870634454,0.0,5,7,11,13,40,46,49,51,61,95,100
GET,get_item,6854,0,54,62.84025691195614,42.02736198203638,146.89067998551764,286.0,38.225060322682545,0.0,50,54,83,86,91,95,99,100,140,150,150
GET,get_orders,4789,0,57,68.70264601320883,43.56205600197427,150.86227300344035,2.0,26.708464237719102,0.0,50,57,87,89,92,95,100,130,140,150,150
GET,get_related,1546,0,53,61.04952710275017,43.244875996606424,148.7122719991021,760.0,8.622110192422996,0.0,50,53,61,83,91,96,100,100,140,150,150
GET,get_tags,1027,0,53,61.19815927321235,42.69011298310943,144.25469300476834,107.0,5.727624299882547,0.0,50,53,63,84,91,95,100,100,140,140,140
GET,login,4275,0,81,78.00109240791504,46.348850009962916,190.84421900333837,13.0,23.841863565723358,0.0,56,81,96,98,100,110,140,140,170,190,190
,Aggregated,75495,0,50,47.50922135842609,0.8729850233066827,190.84421900333837,2457.9041658387973,421.03894500451105,0.0,11,50,62,82,90,95,100,100,140,160,190
