Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.419039180816768,4.637455975171179,10.9634310065303,0.0,0.43062458909605106,0.0,7,7,8,8,8,9,9,11,11,11,11
GET,get_address,77,0,44,45.66770490877294,43.73841802589595,52.04264301573858,283.0,0.43062458909605106,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_basket,77,0,2,2.8568017935265435,1.255067007150501,43.75428200000897,23020.0,0.43062458909605106,0.0,2,2,2,2,2,3,44,44,44,44,44
GET,get_card,77,0,44,45.73856414198972,43.72837601113133,51.980363990878686,17.0,0.43062458909605106,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_cart,2301,0,46,46.39602198451879,42.45205799816176,60.02973098657094,339.26553672316385,12.868404928701473,0.0,44,46,48,48,49,51,52,52,56,60,60
GET,get_catalogue1,1380,0,3,3.3061132510909745,1.8359459936618805,8.455750008579344,1643.0,7.717687440942214,0.0,3,3,4,4,4,5,5,6,8,8,8
GET,get_catalogue2,77,0,46,46.98305718363384,42.770308995386586,54.62896398967132,22.0,0.43062458909605106,0.0,46,46,47,47,50,50,54,55,55,55,55
GET,get_catalogue3,77,0,4,3.532369182272754,2.445848978823051,7.653562992345542,1927.0,0.43062458909605106,0.0,3,4,4,4,4,4,5,8,8,8,8
GET,get_category,77,0,2,1.753945389305931,1.1272270057816058,3.107540018390864,11518.0,0.43062458909605106,0.0,2,2,2,2,2,2,3,3,3,3,3
GET,get_customer,921,0,44,45.61831962959219,43.128837016411126,52.552926004864275,386.0,5.15071748775926,0.0,44,44,48,48,48,49,52,52,53,53,53
GET,get_customer_orders,613,0,2,2.173670387109377,0.9446259937249124,48.20022598141804,6368.0,3.4282191313750556,0.0,1,2,2,2,2,3,3,4,48,48,48
GET,get_detail,154,0,2,2.748912883137788,1.067750999936834,44.51096197590232,10364.0,0.8612491781921021,0.0,1,2,2,2,2,3,44,44,45,45,45
GET,get_index,1303,0,2,2.082930430347323,0.8584089810028672,48.11756600975059,8688.0,7.287062851846163,0.0,2,2,2,2,2,3,4,6,48,48,48
GET,get_item,921,0,44,45.43446407075865,42.36503300489858,55.92287000035867,286.0,5.15071748775926,0.0,44,44,48,48,48,48,52,52,56,56,56
GET,get_orders,690,0,46,47.0751828648592,42.67925399472006,54.39745698822662,2.0,3.858843720471107,0.0,46,46,48,50,50,51,51,52,54,54,54
GET,get_related,154,0,44,45.275258987404214,43.27972198370844,52.770328999031335,760.0,0.8612491781921021,0.0,44,44,48,48,48,48,48,52,53,53,53
GET,get_tags,77,0,44,45.171410363551544,43.5080679890234,48.58578499988653,107.0,0.43062458909605106,0.0,44,44,48,48,48,48,48,49,49,49,49
GET,login,613,0,48,49.24391494783973,43.899595009861514,56.550239998614416,13.0,3.4282191313750556,0.0,48,48,52,52,52,52,53,53,57,57,57
,Aggregated,9666,0,44,29.44572689446173,0.8584089810028672,60.02973098657094,2426.467308090213,54.0573672493822,0.0,3,44,47,48,48,50,52,52,55,60,60
