Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,371,0,7,9.644060112856645,4.677459015510976,55.59919300139882,0.0,2.0702208154777213,0.0,6,7,9,10,13,21,42,49,56,56,56
GET,get_address,369,0,48,47.594495790365066,43.28639098093845,90.47734900377691,283.0,2.0590605954481918,0.0,44,48,48,49,52,54,57,76,90,90,90
GET,get_basket,370,0,2,3.2362409079183094,1.0526650003157556,48.23943300289102,23020.0,2.0646407054629563,0.0,2,2,3,3,5,7,19,44,48,48,48
GET,get_card,370,0,47,47.359391453210264,42.941991006955504,77.25781499175355,17.0,2.0646407054629563,0.0,44,47,48,49,52,53,60,72,77,77,77
GET,get_cart,12564,0,47,48.167422210296074,41.93418298382312,142.12990799569525,301.39525628780643,70.10850222550428,0.0,45,47,49,50,52,54,79,84,96,140,140
GET,get_catalogue1,7404,0,3,4.422637534156013,1.6293739899992943,53.21425700094551,1643.0,41.31513454931819,0.0,3,3,4,4,6,8,25,40,50,53,53
GET,get_catalogue2,724,0,47,48.71296657979178,42.00196100282483,95.24419400258921,22.0,4.039999650689677,0.0,46,47,50,50,51,66,84,86,95,95,95
GET,get_catalogue3,723,0,4,5.009080232824695,2.0242169848643243,67.58710998110473,1927.0,4.034419540674912,0.0,3,4,5,6,7,9,18,30,68,68,68
GET,get_category,724,0,2,3.225063264956222,0.8317100000567734,88.5470789799001,11518.0,4.039999650689677,0.0,2,2,3,3,4,6,12,44,89,89,89
GET,get_customer,5160,0,48,47.720087000119,42.56060300394893,95.90077900793403,344.66046511627906,28.793367676186094,0.0,44,48,48,49,52,53,57,77,92,96,96
GET,get_customer_orders,2975,0,2,3.229585117905033,0.8234310080297291,56.04464199859649,6368.0,16.60082729392512,0.0,2,2,3,3,4,7,16,43,48,56,56
GET,get_detail,1094,0,2,3.012780347117308,0.8324630034621805,49.356302013620734,10364.0,6.1046403561526335,0.0,1,2,3,3,4,6,20,43,48,49,49
GET,get_index,7035,0,2,3.050670835416891,0.791058992035687,51.617873017676175,8688.0,39.25607395386999,0.0,2,2,3,3,4,7,15,28,49,52,52
GET,get_item,4805,0,47,47.65412138628896,41.770764015382156,122.89845300256275,286.0,26.81242862094461,0.0,44,47,48,49,52,53,61,80,93,120,120
GET,get_orders,3342,0,47,48.85355702995067,42.267709999578074,94.81246399809606,2.0,18.648727669343785,0.0,46,47,50,50,52,54,81,86,93,95,95
GET,get_related,1093,0,48,47.57753961325699,42.68523899372667,91.07797598699108,760.0,6.099060246137869,0.0,44,48,48,49,52,55,58,74,88,91,91
GET,get_tags,723,0,46,46.95529428919015,42.83968100207858,91.7294259998016,107.0,4.034419540674912,0.0,44,46,48,48,51,52,56,76,92,92,92
GET,login,2978,0,49,52.3625073708263,43.89931698096916,131.217229005415,13.0,16.617567623969418,0.0,48,49,52,53,57,68,88,93,110,130,130
,Aggregated,52824,0,44,30.92799354153997,0.791058992035687,142.12990799569525,2457.9171020748145,294.763731419933,0.0,3,44,48,48,51,53,60,80,93,120,140
