Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,229,0,7,7.3854508940649,4.60154001484625,43.02630602614954,0.0,1.2779857976929776,0.0,6,7,8,8,9,10,13,23,43,43,43
GET,get_address,229,0,44,46.103216371296675,43.320857017533854,64.19526899117045,283.0,1.2779857976929776,0.0,44,44,48,48,49,52,53,60,64,64,64
GET,get_basket,229,0,2,2.2413727029747283,0.9387189929839224,43.936105008469895,23020.0,1.2779857976929776,0.0,1,2,2,2,3,3,4,9,44,44,44
GET,get_card,229,0,44,46.23760880841914,43.3062219817657,60.36976000177674,17.0,1.2779857976929776,0.0,44,44,48,48,49,52,56,57,60,60,60
GET,get_cart,7425,0,47,46.83317090627292,41.901749005774036,88.87587100616656,296.25656565656567,41.43687575489239,0.0,44,47,48,48,51,52,53,56,85,89,89
GET,get_catalogue1,4337,0,3,3.4394711546864207,1.6665959847159684,45.491746976040304,1643.0,24.20360002006307,0.0,3,3,4,4,4,5,8,11,30,45,45
GET,get_catalogue2,472,0,46,46.68765365648265,42.095602984772995,85.72064701002091,22.0,2.634101731489456,0.0,45,46,48,50,50,51,51,52,86,86,86
GET,get_catalogue3,472,0,3,3.61383326655753,1.9091999856755137,22.461970016593114,1927.0,2.634101731489456,0.0,3,3,4,4,4,6,7,12,22,22,22
GET,get_category,472,0,2,2.5809501802526076,0.8966339810285717,47.99966301652603,11518.0,2.634101731489456,0.0,1,2,2,2,3,3,12,44,48,48,48
GET,get_customer,3092,0,45,46.30898577124047,42.85563001758419,80.07574500516057,338.76649417852525,17.25559863085889,0.0,44,45,48,48,49,52,52,56,74,80,80
GET,get_customer_orders,1693,0,2,2.8104167899179586,0.8022219990380108,49.07205098425038,6368.0,9.448165744516205,0.0,2,2,2,3,3,4,15,44,49,49,49
GET,get_detail,700,0,2,2.3686061197492694,0.8885700081009418,49.02160199708305,10364.0,3.9065068051750402,0.0,1,2,2,2,3,3,7,44,49,49,49
GET,get_index,4108,0,2,2.2920202745906053,0.7655920053366572,48.40324097312987,8688.0,22.925614222370093,0.0,1,2,2,2,3,4,7,12,48,48,48
GET,get_item,2848,0,45,46.114201796023806,41.74960299860686,76.42314000986516,286.0,15.893901973055021,0.0,44,45,48,48,49,51,52,53,64,76,76
GET,get_orders,1921,0,47,47.492004618951505,42.39840997615829,83.40956500614993,2.0,10.72057081820179,0.0,46,47,49,50,51,51,53,55,83,83,83
GET,get_related,699,0,44,46.018830835591075,43.089154991321266,75.8404099906329,760.0,3.9009260811676474,0.0,44,44,48,48,48,52,52,56,76,76,76
GET,get_tags,472,0,44,45.49978396762064,42.893517995253205,64.04441699851304,107.0,2.634101731489456,0.0,44,44,48,48,48,49,52,53,64,64,64
GET,login,1696,0,48,50.60426676240206,43.87591499835253,92.32800398604013,13.0,9.464907916538383,0.0,48,48,52,52,53,57,72,83,92,92,92
,Aggregated,31323,0,44,29.75502762396139,0.7655920053366572,92.32800398604013,2465.2126552373657,174.80501808356826,0.0,3,44,48,48,49,51,52,56,83,90,92
