Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1181,0,10,14.408846131161607,4.212209023535252,65.10206998791546,0.0,6.589284343288273,0.0,7,10,14,16,35,48,56,60,65,65,65
GET,get_address,1179,0,48,51.697409922688365,42.99982695374638,105.19418003968894,283.0,6.5781255213690715,0.0,47,48,52,53,60,79,88,92,100,110,110
GET,get_basket,1179,0,3,5.423918855495031,0.9477869607508183,81.45836601033807,23020.0,6.5781255213690715,0.0,2,3,5,5,8,19,44,47,56,81,81
GET,get_card,1179,0,48,51.885793664203554,42.78108605649322,104.43063010461628,17.0,6.5781255213690715,0.0,47,48,52,53,60,80,90,92,100,100,100
GET,get_cart,13424,0,48,51.43386722084697,42.151923989877105,122.09942901972681,212.3092967818832,74.89801272167804,0.0,46,48,52,52,60,80,89,94,110,120,120
GET,get_catalogue1,6443,0,4,8.002426455465343,1.7184109892696142,64.85575099941343,1643.0,35.948144812706474,0.0,3,4,7,9,16,37,46,50,57,65,65
GET,get_catalogue2,1412,0,48,52.5324374272273,41.94317397195846,105.52204004488885,22.0,7.878128274956005,0.0,46,48,52,54,75,83,89,92,100,110,110
GET,get_catalogue3,1411,0,6,8.634101862812575,1.9661670085042715,77.62349094264209,1927.0,7.872548863996404,0.0,4,6,8,10,17,31,45,51,76,78,78
GET,get_category,1412,0,3,7.610921500228931,0.8921460248529911,58.32898698281497,11518.0,7.878128274956005,0.0,2,3,5,6,32,39,46,48,58,58,58
GET,get_customer,6980,0,48,53.23347615296245,42.72283404134214,105.17034493386745,366.2919770773639,38.94428849801198,0.0,47,48,53,55,75,84,91,94,100,110,110
GET,get_customer_orders,1805,0,3,7.19701686939818,0.8816299960017204,72.42297800257802,6368.0,10.070836782079029,0.0,2,3,5,6,19,38,44,49,69,72,72
GET,get_detail,2591,0,2,4.755020156743193,0.836194958537817,82.60741096455604,10364.0,14.456253796325075,0.0,2,2,4,5,7,16,41,45,59,83,83
GET,get_index,5264,0,3,6.234735788739078,0.8211180102080107,92.16318803373724,8688.0,29.3700192913374,0.0,2,3,5,6,13,35,44,47,59,92,92
GET,get_item,6750,0,48,50.7711847950187,41.8827049434185,120.43705000542104,286.0,37.66102397730385,0.0,46,48,51,52,57,76,88,93,100,120,120
GET,get_orders,2981,0,49,52.48093092251733,42.75873501319438,108.39989501982927,2.0,16.632224070569297,0.0,47,49,53,54,62,80,90,93,100,110,110
GET,get_related,2587,0,48,51.11328362444777,42.817843961529434,107.75847698096186,760.0,14.433936152486673,0.0,47,48,52,53,57,69,84,89,100,110,110
GET,get_tags,1411,0,48,50.846477511750095,42.790725943632424,104.28333492018282,107.0,7.872548863996404,0.0,45,48,51,52,57,80,90,93,100,100,100
GET,login,1812,0,53,62.13678409753801,43.8523719785735,112.08862299099565,13.0,10.109892658796232,0.0,49,53,76,83,92,96,100,100,110,110,110
,Aggregated,61001,0,46,36.5578742570013,0.8211180102080107,122.09942901972681,2469.7705775315158,340.34964794659436,0.0,6,46,50,52,56,76,88,93,100,110,120
