Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,300,0,7,8.538942849263549,4.81897103600204,63.906708965077996,0.0,1.6739652621269534,0.0,7,7,8,9,10,14,29,38,64,64,64
GET,get_address,299,0,44,46.93191714528761,43.276487034745514,85.18121798988432,283.0,1.6683853779198636,0.0,44,44,48,48,52,54,68,76,85,85,85
GET,get_basket,300,0,2,2.556082411125923,0.9668219136074185,43.922638054937124,23020.0,1.6739652621269534,0.0,1,2,2,2,3,6,16,30,44,44,44
GET,get_card,300,0,47,47.1969869468982,43.25630597304553,96.44503507297486,17.0,1.6739652621269534,0.0,44,47,48,48,51,52,68,84,96,96,96
GET,get_cart,9937,0,47,47.74842399749442,42.111939983442426,113.40975307393819,105.77427795109188,55.44730936585179,0.0,44,47,48,49,51,53,67,75,100,110,110
GET,get_catalogue1,5870,0,3,4.1698791883137,1.677745021879673,59.65300009120256,1643.0,32.75392029561739,0.0,3,3,4,4,5,8,23,27,46,60,60
GET,get_catalogue2,539,0,46,47.55820962319631,42.09873697254807,92.44763804599643,22.0,3.0075575876214264,0.0,46,46,49,50,50,53,67,69,92,92,92
GET,get_catalogue3,539,0,3,4.374043410816722,1.8112990073859692,51.8721470143646,1927.0,3.0075575876214264,0.0,3,3,4,4,6,9,21,33,52,52,52
GET,get_category,539,0,2,2.868879193151525,0.9043320314958692,59.536864049732685,11518.0,3.0075575876214264,0.0,1,2,2,2,3,5,25,38,60,60,60
GET,get_customer,4068,0,47,47.21041948912526,42.84960392396897,97.92913298588246,350.6946902654867,22.698968954441487,0.0,44,47,48,48,52,53,64,72,92,98,98
GET,get_customer_orders,2393,0,2,3.401966732831316,0.8727420354261994,67.60898802895099,6368.0,13.352662907565998,0.0,2,2,3,3,4,10,26,36,57,68,68
GET,get_detail,838,0,2,2.8580892722729176,0.8779669879004359,47.985076904296875,10364.0,4.67594296554129,0.0,1,2,2,2,3,6,27,44,48,48,48
GET,get_index,5571,0,2,3.0943700673268935,0.7535229669883847,72.24823697470129,8688.0,31.085534917697526,0.0,1,2,2,3,4,7,23,35,53,72,72
GET,get_item,3829,0,46,46.96966603808285,42.0753019861877,100.18830106128007,286.0,21.365376628947015,0.0,44,46,48,48,51,52,60,68,92,100,100
GET,get_orders,2692,0,47,48.66199416046503,42.495954083278775,118.8324069371447,2.0,15.021048285485861,0.0,46,47,50,50,52,61,70,74,95,120,120
GET,get_related,837,0,44,46.38698144235594,42.919346946291625,96.23840299900621,760.0,4.6703630813342,0.0,44,44,48,48,49,52,56,60,96,96,96
GET,get_tags,539,0,44,46.168599333674585,42.99074597656727,100.07817600853741,107.0,3.0075575876214264,0.0,44,44,48,48,48,51,52,69,100,100,100
GET,login,2395,0,49,52.836245680587574,43.90023706946522,128.7722059059888,13.0,13.363822675980177,0.0,48,49,52,53,61,76,90,96,110,130,130
,Aggregated,41785,0,44,30.655416322583296,0.7535229669883847,128.7722059059888,2405.802441067369,233.15546159324916,0.0,3,44,48,48,51,52,62,72,97,110,130
