Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1246,0,20,29.022756910151884,4.419881966896355,162.0603420305997,0.0,6.9498494708966625,0.0,10,20,49,54,60,66,79,86,160,160,160
GET,get_address,1240,0,52,57.80181072224232,42.94625006150454,128.4336500102654,283.0,6.916383101052858,0.0,48,52,61,68,84,96,100,100,130,130,130
GET,get_basket,1244,0,5,12.529423038499173,1.0969319846481085,87.48187101446092,23020.0,6.938694014282062,0.0,3,5,15,26,36,46,54,60,80,87,87
GET,get_card,1240,0,56,62.91946400766216,43.07016497477889,114.91941194981337,17.0,6.916383101052858,0.0,48,56,76,81,91,95,100,100,110,110,110
GET,get_cart,14642,0,51,58.759473861933174,42.34450194053352,147.1854679984972,107.56720393388882,81.66909787549673,0.0,47,51,66,72,88,96,100,120,130,140,150
GET,get_catalogue1,7082,0,9,15.510863542124898,1.7388970591127872,95.48915503546596,1643.0,39.501471872303505,0.0,4,9,23,26,35,48,56,63,88,95,95
GET,get_catalogue2,1544,0,57,58.60867309379524,42.006528936326504,141.11753401812166,22.0,8.612012506472269,0.0,48,57,66,68,72,81,91,96,140,140,140
GET,get_catalogue3,1544,0,9,17.957910988238577,1.9191750325262547,136.74938108306378,1927.0,8.612012506472269,0.0,5,9,26,34,54,59,65,74,140,140,140
GET,get_category,1544,0,22,19.954888288829224,0.8750180713832378,91.1571990000084,11518.0,8.612012506472269,0.0,3,22,32,34,43,47,54,64,81,91,91
GET,get_customer,7559,0,54,62.74497042129348,43.03893796168268,129.6737641096115,362.5103849715571,42.16204827488593,0.0,48,54,76,80,91,97,100,100,120,130,130
GET,get_customer_orders,1989,0,7,15.567279422080707,0.9644139790907502,83.97291391156614,6368.0,11.094101603221077,0.0,3,7,28,31,40,47,54,59,75,84,84
GET,get_detail,2789,0,3,8.967979618247336,0.8601360023021698,94.62135995272547,10364.0,15.556284249061632,0.0,2,3,7,10,31,42,55,61,85,95,95
GET,get_index,5843,0,6,15.530144563263551,0.7167770527303219,108.07114199269563,8688.0,32.59066649955795,0.0,2,6,28,31,41,48,54,59,79,110,110
GET,get_item,7254,0,50,56.919031726192046,41.91266291309148,140.82157099619508,286.0,40.46084114115922,0.0,47,50,62,66,81,94,100,110,130,140,140
GET,get_orders,3228,0,54,60.54547018843387,42.84727794583887,140.9468789352104,2.0,18.004906975966634,0.0,48,54,69,72,86,95,100,110,130,140,140
GET,get_related,2786,0,53,59.22510831127757,43.1056380039081,131.70431507751346,760.0,15.53955106413973,0.0,48,53,66,71,84,95,100,110,130,130,130
GET,get_tags,1544,0,53,63.952575788101534,42.48058004304767,160.0071880966425,107.0,8.612012506472269,0.0,48,53,80,84,93,96,100,100,110,160,160
GET,login,2001,0,81,77.5073557849629,46.55253898818046,202.66171894036233,13.0,11.161034342908685,0.0,56,81,95,96,100,100,110,120,170,200,200
,Aggregated,66319,0,48,44.766222423419045,0.7167770527303219,202.66171894036233,2449.941675839503,369.9093636118746,0.0,23,48,59,65,81,93,100,100,130,160,200
