Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.896318986358774,5.216240067966282,39.2485810443759,0.0,0.4300146705251039,0.0,7,7,8,8,9,11,16,39,39,39,39
GET,get_address,77,0,44,45.70695800501127,43.647373910062015,51.98174202814698,283.0,0.4300146705251039,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_basket,77,0,2,2.999940560525888,1.2496389681473374,48.134731012396514,23020.0,0.4300146705251039,0.0,2,2,2,2,2,3,44,48,48,48,48
GET,get_card,77,0,44,46.044198301765924,43.669419013895094,55.88737002108246,17.0,0.4300146705251039,0.0,44,44,48,48,48,52,52,56,56,56,56
GET,get_cart,1899,0,47,46.54540928603474,42.5392430042848,83.35245493799448,116.7577672459189,10.605167004248992,0.0,44,47,48,48,50,51,52,52,59,83,83
GET,get_catalogue1,1112,0,3,3.359309935011807,1.8494200194254518,10.300375986844301,1643.0,6.210081995115787,0.0,3,3,4,4,4,5,6,8,10,10,10
GET,get_catalogue2,77,0,46,46.471024675947895,42.33515099622309,50.54773692972958,22.0,0.4300146705251039,0.0,46,46,47,47,50,50,51,51,51,51,51
GET,get_catalogue3,77,0,4,3.635300262891627,2.62737600132823,5.792943062260747,1927.0,0.4300146705251039,0.0,3,4,4,4,4,5,5,6,6,6,6
GET,get_category,77,0,2,3.452795202384231,1.082866103388369,43.885000981390476,11518.0,0.4300146705251039,0.0,2,2,2,2,2,6,44,44,44,44,44
GET,get_customer,787,0,44,45.82242938625393,43.221925967372954,56.06965802144259,386.0,4.395085009133205,0.0,44,44,48,48,48,51,52,52,56,56,56
GET,get_customer_orders,479,0,2,1.8967299659917274,0.8958999533206224,44.01130194310099,6368.0,2.675026327032789,0.0,1,2,2,2,2,3,3,4,44,44,44
GET,get_detail,154,0,2,2.228027326810815,1.0377300204709172,44.07274292316288,10364.0,0.8600293410502078,0.0,1,2,2,2,2,2,4,44,44,44,44
GET,get_index,1035,0,2,2.001221588326861,0.8795670000836253,47.855383018031716,8688.0,5.780067324590682,0.0,2,2,2,2,2,3,4,5,44,48,48
GET,get_item,787,0,44,45.684885563804585,42.43993095587939,52.31694004032761,286.0,4.395085009133205,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_orders,556,0,46,47.13777951639072,42.64261503703892,57.7249740017578,2.0,3.1050409975578934,0.0,46,46,48,50,50,51,51,52,58,58,58
GET,get_related,154,0,44,45.34224584145326,43.547926004976034,52.2769900271669,760.0,0.8600293410502078,0.0,44,44,48,48,48,48,51,52,52,52,52
GET,get_tags,77,0,44,44.79161336376973,43.71055599767715,51.883660024032,107.0,0.4300146705251039,0.0,44,44,44,47,48,48,48,52,52,52,52
GET,login,479,0,48,49.60160105151857,46.92442808300257,132.08704406861216,13.0,2.675026327032789,0.0,48,48,52,52,52,53,56,60,130,130,130
,Aggregated,8058,0,44,29.770636836504995,0.8795670000836253,132.08704406861216,2380.39563167039,45.00075604014659,0.0,3,44,48,48,48,50,52,52,58,130,130
