Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,6,6.951884352460955,4.331595031544566,50.06376397795975,0.0,1.2891813136383636,0.0,6,6,7,7,8,10,12,18,50,50,50
GET,get_address,230,0,44,46.040973090566695,43.33332902751863,56.412442936562,283.0,1.2836004421507516,0.0,44,44,48,48,48,52,52,52,56,56,56
GET,get_basket,231,0,2,2.5402582079188263,0.861985026858747,48.26675797812641,23020.0,1.2891813136383636,0.0,1,2,2,2,2,3,7,44,48,48,48
GET,get_card,230,0,44,45.94519567098873,43.21525094565004,52.49139107763767,17.0,1.2836004421507516,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,6565,0,46,46.40172738817741,42.17008198611438,96.18291701190174,108.25894897182026,36.63842131617254,0.0,44,46,48,48,50,51,52,53,71,96,96
GET,get_catalogue1,3837,0,3,3.3321987515582894,1.7540770350024104,45.79538700636476,1643.0,21.413803897967103,0.0,3,3,3,4,4,5,7,10,42,46,46
GET,get_catalogue2,352,0,46,46.452185724443886,42.12004109285772,63.522025011479855,22.0,1.964466763639411,0.0,46,46,47,48,50,51,51,51,64,64,64
GET,get_catalogue3,352,0,3,3.393420320538677,2.1601150510832667,9.001314989291131,1927.0,1.964466763639411,0.0,3,3,4,4,4,5,6,8,9,9,9
GET,get_category,353,0,2,2.3234465694392665,0.9351070038974285,48.84036001749337,11518.0,1.970047635127023,0.0,1,2,2,2,2,3,5,44,49,49,49
GET,get_customer,2728,0,44,46.097149615713036,42.788781924173236,88.3435079595074,359.1209677419355,15.224617418205437,0.0,44,44,48,48,48,52,52,53,76,88,88
GET,get_customer_orders,1564,0,2,2.401634201998739,0.8653949480503798,48.11409302055836,6368.0,8.72848300662511,0.0,1,2,2,2,3,3,5,30,48,48,48
GET,get_detail,583,0,2,2.3357129416557902,0.8155950345098972,52.77135397773236,10364.0,3.2536480772777745,0.0,1,2,2,2,2,3,7,44,53,53,53
GET,get_index,3607,0,2,2.1936132258298984,0.8646839996799827,48.08541503734887,8688.0,20.130203455816353,0.0,1,2,2,2,3,3,5,9,47,48,48
GET,get_item,2606,0,45,46.10451975820732,42.1200490090996,76.471465989016,286.0,14.543751096716777,0.0,44,45,48,48,49,51,52,52,70,76,76
GET,get_orders,1794,0,47,47.38358085260725,42.565821087919176,76.41301199328154,2.0,10.012083448775861,0.0,46,47,49,50,51,51,53,58,76,76,76
GET,get_related,583,0,44,45.75082040463748,43.05362200830132,79.94886103551835,760.0,3.2536480772777745,0.0,44,44,48,48,48,49,52,52,80,80,80
GET,get_tags,352,0,44,45.25481747292691,42.76949597988278,56.06217100284994,107.0,1.964466763639411,0.0,44,44,48,48,48,48,49,52,56,56,56
GET,login,1565,0,48,49.84685025429324,43.8228229759261,91.42618405167013,13.0,8.734063878112723,0.0,48,48,52,52,52,54,58,72,89,91,91
,Aggregated,27763,0,44,29.668222146544636,0.8155950345098972,96.18291701190174,2403.2881172783923,154.94173511057093,0.0,3,44,47,48,49,51,52,53,72,91,96
