Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,365,0,12,25.428545053678324,4.929910064674914,143.79122201353312,0.0,2.0355911559132474,0.0,8,12,42,52,62,67,82,120,140,140,140
GET,get_address,365,0,51,62.84100665226068,43.09408098924905,126.08016200829297,283.0,2.0355911559132474,0.0,48,51,85,91,100,100,110,110,130,130,130
GET,get_basket,365,0,4,13.227563380735786,0.933534000068903,88.6923560174182,23020.0,2.0355911559132474,0.0,2,4,13,22,50,56,62,71,89,89,89
GET,get_card,365,0,53,64.54823277954472,43.204623041674495,131.7338990047574,17.0,2.0355911559132474,0.0,48,53,88,91,97,100,100,110,130,130,130
GET,get_cart,16713,0,51,63.10027476646383,42.06814197823405,146.7466950416565,39.23927481601149,93.20776709254274,0.0,47,51,73,86,100,120,130,130,140,140,150
GET,get_catalogue1,8562,0,10,17.886137510488876,1.5760129317641258,116.08994100242853,1643.0,47.74994925186088,0.0,4,10,25,27,45,63,89,95,110,120,120
GET,get_catalogue2,3188,0,56,61.653070231229755,42.15649398975074,147.01262500602752,22.0,17.779355082332692,0.0,49,56,69,71,81,99,130,140,140,150,150
GET,get_catalogue3,3184,0,24,31.433534176728276,1.8905490869656205,100.12917395215482,1927.0,17.75704723404871,0.0,6,24,57,59,64,68,75,80,92,100,100
GET,get_category,3193,0,25,25.56960121553474,0.770611921325326,101.4192629372701,11518.0,17.80723989268767,0.0,4,25,43,46,51,56,64,72,97,100,100
GET,get_customer,8159,0,71,71.03482220155925,42.645373032428324,139.00758791714907,177.14205172202475,45.50243353724982,0.0,48,71,91,93,98,100,110,120,130,140,140
GET,get_customer_orders,1078,0,10,21.01873908529286,0.9439969435334206,109.58654095884413,6368.0,6.011965112532823,0.0,3,10,40,43,51,57,66,82,100,110,110
GET,get_detail,3544,0,7,19.588324252541522,0.9112289408221841,100.0460630748421,10364.0,19.76475357960698,0.0,3,7,37,45,55,60,64,67,91,100,100
GET,get_index,8197,0,10,19.92837857090644,0.8336449973285198,114.92842307779938,8688.0,45.71435809594764,0.0,3,10,35,42,51,56,63,71,88,110,110
GET,get_item,5348,0,52,62.76453241351773,42.09312703460455,144.6650200523436,286.0,29.82559315568232,0.0,47,52,73,81,97,100,120,130,140,140,140
GET,get_orders,1440,0,53,61.34509027542663,42.63941501267254,142.03101105522364,2.0,8.030825382233084,0.0,48,53,69,72,92,100,110,120,140,140,140
GET,get_related,3541,0,53,65.76571913925387,42.737879091873765,138.1029620533809,760.0,19.748022693393995,0.0,48,53,89,95,100,110,110,120,140,140,140
GET,get_tags,3184,0,80,73.96052849802818,42.56079194601625,141.67710090987384,107.0,17.75704723404871,0.0,48,80,93,95,99,100,110,120,140,140,140
GET,login,1080,0,85,78.00793083378166,46.736219082958996,205.0644039409235,13.0,6.023119036674814,0.0,52,86,96,98,100,110,130,150,200,210,210
,Aggregated,71871,0,48,48.11736103758898,0.770611921325326,205.0644039409235,2602.600548204422,400.82184100449587,0.0,24,48,64,74,94,100,120,130,140,160,210
