Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,898,0,7,8.520299326866981,4.314731108024716,75.9217981249094,0.0,5.01071122714994,0.0,6,7,9,9,11,15,24,52,76,76,76
GET,get_address,897,0,48,47.38372017410371,42.87848388776183,92.42184809409082,283.0,5.005131370549551,0.0,44,48,48,49,52,53,56,59,92,92,92
GET,get_basket,898,0,2,2.762352282343171,0.9220170322805643,48.78150695003569,23020.0,5.01071122714994,0.0,2,2,3,3,4,5,11,18,49,49,49
GET,get_card,897,0,48,47.28326540380102,43.00542012788355,84.45143490098417,17.0,5.005131370549551,0.0,44,48,48,49,52,52,56,64,84,84,84
GET,get_cart,10234,0,47,47.44598897479679,42.05373302102089,103.98322087712586,106.13376978698456,57.10425244838807,0.0,44,47,48,49,51,52,57,72,90,99,100
GET,get_catalogue1,4870,0,3,3.90843979027543,1.7134230583906174,50.54029915481806,1643.0,27.173901643897782,0.0,3,3,4,4,5,7,13,33,48,51,51
GET,get_catalogue2,1139,0,46,47.40550092673313,41.8131691403687,94.21471203677356,22.0,6.355456667843855,0.0,45,46,49,50,51,51,59,80,94,94,94
GET,get_catalogue3,1139,0,3,4.52095708814699,1.9588370341807604,57.277515064924955,1927.0,6.355456667843855,0.0,3,3,5,5,6,8,15,27,49,57,57
GET,get_category,1139,0,2,2.9685802586438808,0.7746180053800344,49.44825195707381,11518.0,6.355456667843855,0.0,1,2,2,3,4,5,21,44,49,49,49
GET,get_customer,5364,0,47,47.24640805208444,42.840010952204466,99.19125796295702,359.11185682326624,29.93035080449029,0.0,44,47,48,48,52,53,57,69,95,99,99
GET,get_customer_orders,1293,0,2,2.988434729633791,0.8896898943930864,51.3818790204823,6368.0,7.214754584303867,0.0,2,2,3,3,4,6,17,44,51,51,51
GET,get_detail,2037,0,2,2.802706101134778,0.822105910629034,48.706831177696586,10364.0,11.366167894993795,0.0,1,2,2,3,4,5,13,42,48,49,49
GET,get_index,3973,0,2,2.80942051287477,0.853395089507103,51.71330599114299,8688.0,22.16877027334823,0.0,1,2,2,3,4,5,17,34,49,52,52
GET,get_item,5122,0,46,47.233805780288826,41.84722015634179,94.8473229072988,286.0,28.580025507195984,0.0,44,46,48,49,51,52,59,78,88,95,95
GET,get_orders,2189,0,47,48.10658287350131,42.16317320242524,95.82017199136317,2.0,12.214306098253028,0.0,46,47,50,50,52,53,58,68,92,96,96
GET,get_related,2034,0,47,47.125266300905366,42.84814093261957,87.90075196884573,760.0,11.349428325192626,0.0,44,47,48,49,52,52,56,60,86,88,88
GET,get_tags,1139,0,45,46.625647288514095,42.612927965819836,95.72332096286118,107.0,6.355456667843855,0.0,44,45,48,48,49,52,56,65,84,96,96
GET,login,1298,0,49,51.436644476029066,44.24988990649581,116.72990792430937,13.0,7.242653867305815,0.0,48,49,52,52,55,61,84,89,100,120,120
,Aggregated,46560,0,44,32.2013672516204,0.7746180053800344,116.72990792430937,2455.1203823024057,259.7981233141439,0.0,3,44,48,48,50,52,55,63,90,100,120
