Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,411,0,45,36.56910224126566,5.057877860963345,153.19835511036217,0.0,2.292324211915199,0.0,13,45,53,54,58,65,95,100,150,150,150
GET,get_address,410,0,53,61.899749972153366,43.63235295750201,142.34874700196087,283.0,2.286746780742656,0.0,50,53,61,87,93,96,100,110,140,140,140
GET,get_basket,411,0,7,10.68268846176619,1.0764889884740114,83.904012106359,23020.0,2.292324211915199,0.0,5,7,10,11,17,46,50,51,84,84,84
GET,get_card,410,0,54,62.16759045903639,43.411594117060304,136.8645210750401,17.0,2.286746780742656,0.0,51,54,64,86,92,96,100,110,140,140,140
GET,get_cart,18246,0,56,67.36899444701555,42.45518916286528,146.35422895662487,40.43417735394059,101.76580917422072,0.0,50,56,86,87,92,95,100,110,140,140,150
GET,get_catalogue1,9337,0,10,24.106332172669692,1.764852087944746,103.2391709741205,1643.0,52.07647485803458,0.0,6,10,45,46,50,52,56,90,99,100,100
GET,get_catalogue2,3447,0,53,65.46907503161096,42.42693609558046,139.99691186472774,22.0,19.225405251755937,0.0,49,53,85,87,91,93,97,100,140,140,140
GET,get_catalogue3,3443,0,11,18.51719422632411,2.002689056098461,101.07601503841579,1927.0,19.203095527065766,0.0,8,11,17,41,49,53,56,60,97,100,100
GET,get_category,3449,0,7,10.603471282773988,1.0603507980704308,92.31420909054577,11518.0,19.236560114101025,0.0,5,7,10,12,17,44,48,51,60,92,92
GET,get_customer,8909,0,54,61.05339492436819,42.88176679983735,142.3572280909866,179.99809181726343,49.68933431618615,0.0,50,54,61,84,91,95,100,100,140,140,140
GET,get_customer_orders,1211,0,7,10.243331406128606,0.9663749951869249,91.33495017886162,6368.0,6.754269149949649,0.0,5,7,10,10,16,45,49,51,85,91,91
GET,get_detail,3851,0,7,10.599529654826554,0.9870859794318676,96.5460860170424,10364.0,21.478687445463336,0.0,5,7,10,11,35,44,49,51,64,97,97
GET,get_index,8932,0,7,11.362035620716336,1.0170999448746443,100.2054859418422,8688.0,49.81761523315464,0.0,5,7,10,12,40,45,49,51,63,100,100
GET,get_item,5879,0,53,64.95797879149404,42.36294305883348,148.197763832286,286.0,32.789717863380666,0.0,49,53,85,87,91,95,99,120,140,150,150
GET,get_orders,1620,0,54,66.63954960208179,43.59862208366394,146.56093204393983,2.0,9.035438499519762,0.0,50,54,87,88,93,96,100,120,140,150,150
GET,get_related,3849,0,53,61.3162148832548,43.318948009982705,145.10099892504513,760.0,21.46753258311825,0.0,50,53,61,85,92,96,100,100,140,150,150
GET,get_tags,3444,0,53,60.199367209582654,42.384956032037735,142.3613140359521,107.0,19.20867295823831,0.0,49,53,60,81,91,95,99,100,130,140,140
GET,login,1218,0,77,77.66990434995444,47.031292924657464,181.74853711389005,13.0,6.793311168157451,0.0,56,77,95,97,100,110,140,140,150,180,180
,Aggregated,78477,0,49,45.580158887889894,0.9663749951869249,181.74853711389005,2598.4835939192376,437.70006612766196,0.0,10,49,58,80,89,93,98,100,140,150,180
