Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1708234974,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1708234975,1,,Aggregated,0.000000,0.000000,4,44,48,48,50,52,52,52,52,52,52,33,0,44,29.731205290634975,1.432614168152213,52.17698588967323,2863.787878787879
1708234976,2,,Aggregated,0.000000,0.000000,3,44,47,48,48,52,52,52,52,52,52,54,0,44,31.01016771203528,1.432614168152213,52.17698588967323,2414.8888888888887
1708234977,3,,Aggregated,19.000000,0.000000,3,44,48,48,50,52,52,52,54,54,54,123,0,44,29.683875425423427,1.19871087372303,54.42513804882765,2609.479674796748
1708234978,4,,Aggregated,27.000000,0.000000,3,44,48,48,49,52,52,52,54,54,54,194,0,44,30.890690100369685,1.19871087372303,54.42513804882765,2503.9845360824743
1708234979,5,,Aggregated,30.000000,0.000000,3,44,48,48,48,52,52,52,59,59,59,275,0,44,30.110319543799218,1.0659880936145782,59.06251003034413,2550.661818181818
1708234980,6,,Aggregated,41.500000,0.000000,3,44,48,48,48,51,52,52,59,59,59,383,0,44,30.903734338491688,1.0659880936145782,59.06251003034413,2463.3707571801565
1708234981,7,,Aggregated,46.600000,0.000000,3,44,48,48,48,51,52,52,59,59,59,500,0,44,30.420835584402084,0.929245026782155,59.06251003034413,2518.14
1708234982,8,,Aggregated,58.666667,0.000000,3,44,48,48,48,51,52,52,59,59,59,626,0,44,30.668188835279988,0.929245026782155,59.06251003034413,2499.1277955271566
1708234983,9,,Aggregated,62.857143,0.000000,3,44,47,48,48,50,52,52,59,59,59,764,0,44,30.627868074255737,0.929245026782155,59.06251003034413,2487.494764397906
1708234984,9,,Aggregated,71.375000,0.000000,3,44,47,48,48,50,52,52,59,59,59,917,0,44,30.65812403707884,0.929245026782155,59.06251003034413,2482.5081788440566
1708234985,9,,Aggregated,78.444444,0.000000,3,44,47,48,48,50,52,52,54,59,59,1037,0,44,30.569077180896095,0.929245026782155,59.06251003034413,2485.6605593056893
1708234986,9,,Aggregated,85.000000,0.000000,3,44,47,48,48,50,52,52,54,59,59,1192,0,44,30.628753196871557,0.929245026782155,59.06251003034413,2478.0260067114095
1708234987,9,,Aggregated,95.800000,0.000000,3,44,47,48,48,50,52,52,54,59,59,1319,0,44,30.645836518732853,0.9237939957529306,59.06251003034413,2465.4988627748294
1708234988,9,,Aggregated,107.300000,0.000000,3,44,47,48,48,50,52,52,54,59,59,1467,0,44,30.57912816090386,0.9237939957529306,59.06251003034413,2474.3469665985003
1708234989,9,,Aggregated,117.000000,0.000000,3,44,47,48,48,50,52,52,54,59,59,1592,0,44,30.703673993463127,0.9237939957529306,59.06251003034413,2463.244974874372
1708234990,9,,Aggregated,122.400000,0.000000,3,44,47,48,48,50,52,52,54,59,59,1742,0,44,30.61998782980969,0.9237939957529306,59.06251003034413,2466.577497129736
1708234991,9,,Aggregated,130.600000,0.000000,3,44,47,48,48,50,52,52,54,59,59,1874,0,44,30.65294853579094,0.9237939957529306,59.06251003034413,2466.128068303095
1708234992,9,,Aggregated,131.800000,0.000000,3,44,47,48,48,50,52,52,53,59,59,2007,0,44,30.655365925204283,0.9237939957529306,59.06251003034413,2466.5560538116592
1708234993,9,,Aggregated,137.500000,0.000000,3,44,47,48,48,50,52,52,53,59,59,2155,0,44,30.716939539088933,0.9237939957529306,59.06251003034413,2464.2389791183296
1708234994,9,,Aggregated,137.400000,0.000000,3,44,47,48,48,50,52,52,54,59,59,2289,0,44,30.708634130703103,0.9237939957529306,59.06251003034413,2461.8619484491046
1708234995,9,,Aggregated,138.300000,0.000000,3,44,47,48,48,50,52,52,54,59,59,2420,0,44,30.75244352702544,0.9237939957529306,59.06251003034413,2460.2289256198346
1708234996,9,,Aggregated,136.700000,0.000000,3,44,47,48,48,50,52,52,55,59,59,2565,0,44,30.762994067460212,0.9237939957529306,59.06251003034413,2461.8413255360624
1708234997,9,,Aggregated,138.300000,0.000000,3,44,47,48,48,50,52,52,55,59,59,2699,0,44,30.761351925881648,0.9237939957529306,59.06251003034413,2469.108558725454
1708234998,9,,Aggregated,137.000000,0.000000,3,44,47,48,48,50,52,52,55,59,59,2832,0,44,30.774291520487743,0.9237939957529306,59.06251003034413,2461.138771186441
1708234999,9,,Aggregated,137.100000,0.000000,3,44,47,48,48,50,52,52,55,59,59,2970,0,44,30.79791766715233,0.9237939957529306,59.06251003034413,2464.765993265993
1708235000,9,,Aggregated,138.700000,0.000000,3,44,47,48,48,50,52,52,54,59,59,3122,0,44,30.748124498456914,0.9237939957529306,59.06251003034413,2463.4602818705957
1708235001,9,,Aggregated,137.400000,0.000000,3,44,47,48,48,50,52,52,54,59,59,3244,0,44,30.788632363908373,0.9237939957529306,59.06251003034413,2456.205918618989
1708235002,9,,Aggregated,137.100000,0.000000,3,44,47,48,48,50,52,52,54,59,59,3389,0,44,30.790193605751423,0.9237939957529306,59.06251003034413,2459.25789318383
1708235003,9,,Aggregated,136.800000,0.000000,3,44,47,48,48,50,52,52,54,59,59,3532,0,44,30.773272983018426,0.9237939957529306,59.06251003034413,2458.015288788222
1708235004,9,,Aggregated,137.800000,0.000000,3,44,47,48,48,50,52,52,54,59,59,3658,0,44,30.77397227269216,0.9237939957529306,59.06251003034413,2462.7594313832697
