Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,148,0,6,6.527712669324231,4.228042904287577,9.309947025030851,0.0,0.8260932684286892,0.0,6,6,7,7,8,8,9,9,9,9,9
GET,get_address,148,0,44,45.67919223965775,43.484187917783856,56.08562706038356,283.0,0.8260932684286892,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_basket,148,0,2,1.7414749788774833,1.0426249355077744,5.57341193780303,23020.0,0.8260932684286892,0.0,1,2,2,2,2,3,3,4,6,6,6
GET,get_card,148,0,44,45.61354069360154,43.36246312595904,51.82096594944596,17.0,0.8260932684286892,0.0,44,44,48,48,48,48,49,52,52,52,52
GET,get_cart,5437,0,45,46.044278034840325,42.130730114877224,82.2024131193757,46.71399668935074,30.347764192207997,0.0,44,45,48,48,49,51,52,52,56,82,82
GET,get_catalogue1,2781,0,3,2.9931547589391116,1.6883830539882183,10.023884009569883,1643.0,15.522739050676925,0.0,3,3,3,3,4,4,5,7,9,10,10
GET,get_catalogue2,980,0,46,46.60524739741291,42.039805790409446,54.60860813036561,22.0,5.470077047703483,0.0,46,46,47,50,50,51,51,52,55,55,55
GET,get_catalogue3,978,0,3,3.348696391014401,1.7965841107070446,9.119938826188445,1927.0,5.458913625157149,0.0,3,3,4,4,4,5,6,6,9,9,9
GET,get_category,980,0,2,2.308329814161193,0.8430671878159046,48.018751200288534,11518.0,5.470077047703483,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_customer,2657,0,44,45.54360635842571,42.995138792321086,54.69215614721179,197.15242754986826,14.83060685280424,0.0,44,44,48,48,48,49,52,52,53,55,55
GET,get_customer_orders,409,0,2,2.607530075715158,0.8778159972280264,80.30237001366913,6368.0,2.282919910725229,0.0,1,2,2,2,2,3,5,44,80,80,80
GET,get_detail,1125,0,2,2.305733748815126,0.8594370447099209,48.025494907051325,10364.0,6.279425182312671,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_index,2633,0,2,1.9265758174309204,0.7744790054857731,48.47704200074077,8688.0,14.696645782248236,0.0,1,2,2,2,2,3,3,4,44,48,48
GET,get_item,1827,0,46,46.11452043550441,41.91741719841957,62.67674104310572,286.0,10.197786496075778,0.0,44,46,48,48,50,50,51,52,59,63,63
GET,get_orders,557,0,47,47.255637820582685,42.63023100793362,54.487650049850345,2.0,3.1090131791539184,0.0,46,47,49,50,51,51,52,53,54,54,54
GET,get_related,1124,0,44,45.53361150069043,42.87679307162762,55.494301952421665,760.0,6.2738434710395055,0.0,44,44,48,48,48,48,52,52,53,55,55
GET,get_tags,978,0,44,45.39467421182239,42.865151073783636,52.55421088077128,107.0,5.458913625157149,0.0,44,44,48,48,48,48,49,52,53,53,53
GET,login,410,0,48,49.385932562645614,44.194719986990094,56.49165506474674,13.0,2.288501621998396,0.0,48,48,52,52,52,52,53,54,56,56,56
,Aggregated,23468,0,44,29.007639623837516,0.7744790054857731,82.2024131193757,2583.0720555650246,130.99160015867892,0.0,3,44,46,47,48,50,51,52,54,80,82
