Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,378,0,47,42.720298720129506,5.635537905618548,117.47739906422794,0.0,2.1083500775357575,0.0,13,47,59,61,91,99,110,110,120,120,120
GET,get_address,377,0,56,65.58630586137367,43.530737049877644,138.40287714265287,283.0,2.102772431827991,0.0,51,56,86,89,96,100,130,130,140,140,140
GET,get_basket,377,0,8,15.279729838856058,1.0895759332925081,89.17080890387297,23020.0,2.102772431827991,0.0,4,8,16,19,47,51,56,64,89,89,89
GET,get_card,377,0,58,67.84644248878055,43.240168830379844,151.58152487128973,17.0,2.102772431827991,0.0,52,58,89,92,96,98,110,140,150,150,150
GET,get_cart,17456,0,61,70.93063182380564,42.372809955850244,184.33625996112823,39.4461503208066,97.36338347477296,0.0,50,61,89,91,97,110,130,140,140,150,180
GET,get_catalogue1,8935,0,40,31.363403182851997,1.7108889296650887,143.8041750807315,1643.0,49.83626439889416,0.0,7,40,47,49,53,83,93,96,110,140,140
GET,get_catalogue2,3321,0,80,72.55078458166363,42.256672866642475,150.2306170295924,22.0,18.523361395492724,0.0,50,80,88,90,94,100,130,140,150,150,150
GET,get_catalogue3,3320,0,15,26.542860207411582,1.971730962395668,109.76399201899767,1927.0,18.517783749784957,0.0,8,15,49,52,57,62,90,96,110,110,110
GET,get_category,3323,0,9,14.350556359078993,0.9412211365997791,123.76045901328325,11518.0,18.53451668690826,0.0,6,9,15,17,43,48,55,58,86,120,120
GET,get_customer,8521,0,57,66.73837600006128,42.75282402522862,153.391283005476,177.23189766459336,47.52711907587881,0.0,51,57,87,91,96,100,110,130,140,150,150
GET,get_customer_orders,1139,0,9,14.403922534224767,0.9906280320137739,84.32094613090158,6368.0,6.352938461146105,0.0,6,9,15,17,44,49,54,57,64,84,84
GET,get_detail,3694,0,8,14.240111142099932,0.9418989066034555,95.70425096899271,10364.0,20.60382324448965,0.0,5,8,15,18,44,49,55,58,88,96,96
GET,get_index,8561,0,9,14.625815334731483,0.8397209458053112,99.95250799693167,8688.0,47.750224904189466,0.0,5,9,15,18,44,49,53,56,91,100,100
GET,get_item,5583,0,61,70.52065039741834,41.97447979822755,189.45588683709502,286.0,31.139995986460672,0.0,50,61,88,90,96,100,130,140,150,190,190
GET,get_orders,1514,0,81,73.94137660080206,42.87622799165547,182.97547497786582,2.0,8.444555601558562,0.0,52,81,90,92,96,100,130,140,140,180,180
GET,get_related,3690,0,56,67.31283142550679,43.0334541015327,148.28088297508657,760.0,20.581512661658586,0.0,51,56,88,91,97,100,130,140,140,150,150
GET,get_tags,3320,0,57,66.52094117184843,42.96494601294398,154.2644640430808,107.0,18.517783749784957,0.0,51,57,87,91,96,100,110,120,150,150,150
GET,login,1145,0,92,88.25453478298007,47.30879608541727,199.17068909853697,13.0,6.3864043353927045,0.0,60,92,100,100,130,140,150,170,200,200,200
,Aggregated,75031,0,50,50.72847275974274,0.8397209458053112,199.17068909853697,2600.3339019871787,418.4963350994323,0.0,16,50,80,86,93,99,120,130,150,180,200
