Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1395,0,59,60.57452512404291,5.575236165896058,192.51622585579753,0.0,7.779789078212094,0.0,48,59,88,93,100,110,120,140,160,190,190
GET,get_address,1395,0,70,76.09508329181261,43.23605401441455,146.60418312996626,283.0,7.779789078212094,0.0,55,70,96,97,100,110,130,140,150,150,150
GET,get_basket,1395,0,12,20.11152201926329,1.116097904741764,98.77456189133227,23020.0,7.779789078212094,0.0,7,12,34,43,51,54,57,60,95,99,99
GET,get_card,1395,0,66,74.88783587030666,43.3912209700793,171.80533916689456,17.0,7.779789078212094,0.0,56,66,95,96,100,100,130,140,150,170,170
GET,get_cart,16413,0,83,78.20534139545552,42.360813124105334,200.62294509261847,107.70218729056236,91.53381945569541,0.0,53,83,95,97,100,130,140,140,170,190,200
GET,get_catalogue1,7951,0,44,39.316903795584764,1.7814980819821358,149.8066671192646,1643.0,44.34200929094219,0.0,11,44,51,53,66,92,98,100,140,150,150
GET,get_catalogue2,1733,0,85,80.70265398448386,42.460476979613304,176.7709341365844,22.0,9.664784568130148,0.0,54,85,91,93,100,130,140,140,150,180,180
GET,get_catalogue3,1733,0,47,38.25262279020793,2.1423001307994127,143.01424706354737,1927.0,9.664784568130148,0.0,12,47,56,58,63,89,97,100,110,140,140
GET,get_category,1738,0,12,18.30616464017986,0.9480048902332783,103.5951420199126,11518.0,9.692669116797576,0.0,8,12,20,27,48,51,54,58,88,100,100
GET,get_customer,8465,0,65,74.84858886732643,43.29331195913255,187.1897610835731,363.01996455995277,47.208540893953675,0.0,55,65,95,96,100,110,130,140,150,190,190
GET,get_customer_orders,2223,0,12,19.588186591507526,0.8603578899055719,102.51496406272054,6368.0,12.397470337537982,0.0,7,12,24,42,49,53,58,60,96,100,100
GET,get_detail,3125,0,11,21.255052670538426,0.9836461395025253,100.00642202794552,10364.0,17.427842917141785,0.0,6,11,43,45,50,53,59,84,96,100,100
GET,get_index,6558,0,12,19.24234270054981,0.8052389603108168,96.60378214903176,8688.0,36.573374032197066,0.0,7,12,22,42,49,52,56,60,93,97,97
GET,get_item,8127,0,83,77.49598920819734,42.13172593154013,177.9637299478054,286.0,45.32354540403561,0.0,53,83,94,96,100,130,140,140,150,180,180
GET,get_orders,3616,0,86,81.35608610120423,42.701102094724774,188.39987996034324,2.0,20.166105596283103,0.0,56,86,94,97,110,130,140,140,150,190,190
GET,get_related,3112,0,75,77.19589190142814,42.97824087552726,172.41030395962298,760.0,17.35534309060648,0.0,55,75,96,98,100,130,140,140,150,170,170
GET,get_tags,1733,0,65,73.85758550816678,43.0852419231087,150.21073003299534,107.0,9.664784568130148,0.0,55,65,94,96,100,100,120,140,150,150,150
GET,login,2247,0,98,97.83562368675602,46.243695076555014,202.05483795143664,13.0,12.531316171141631,0.0,85,98,110,110,140,150,160,190,200,200,200
,Aggregated,74354,0,56,61.04778388678535,0.8052389603108168,202.05483795143664,2451.2771068133525,414.66554632357133,0.0,45,56,90,93,100,110,140,140,160,200,200
