Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,312,0,11,17.94542518342869,5.1120559219270945,96.84198093600571,0.0,1.740558016030044,0.0,8,11,18,22,48,53,57,60,97,97,97
GET,get_address,312,0,48,51.2191177590583,43.21063496172428,99.59083097055554,283.0,1.740558016030044,0.0,47,48,52,53,57,64,93,95,100,100,100
GET,get_basket,312,0,3,5.270105217977498,0.8580230642110109,51.37647595256567,23020.0,1.740558016030044,0.0,2,3,5,6,9,13,45,48,51,51,51
GET,get_card,312,0,48,51.210925894944616,43.27824502252042,97.76032995432615,17.0,1.740558016030044,0.0,47,48,52,53,57,77,86,90,98,98,98
GET,get_cart,14683,0,48,54.818427122791675,41.966781951487064,139.26055398769677,224.3561942382347,81.91222227361902,0.0,46,48,53,57,83,88,92,95,130,140,140
GET,get_catalogue1,7534,0,4,10.061548804364385,1.7163688316941261,103.89570402912796,1643.0,42.03001311785369,0.0,3,4,7,8,40,45,49,51,90,100,100
GET,get_catalogue2,2772,0,48,54.60155817134437,41.880012024194,131.9695869460702,22.0,15.46418852703616,0.0,46,48,52,55,84,87,90,93,130,130,130
GET,get_catalogue3,2769,0,6,9.551022476481348,1.890955027192831,92.36153797246516,1927.0,15.44745239226664,0.0,4,6,9,10,15,42,49,53,67,92,92
GET,get_category,2772,0,3,6.146812228829308,0.7802420295774937,79.39201989211142,11518.0,15.46418852703616,0.0,2,3,6,7,11,19,44,47,62,79,79
GET,get_customer,7150,0,49,52.57459247637853,42.785699013620615,138.8471140526235,178.01062937062937,39.88778786735517,0.0,47,49,53,54,61,85,92,94,100,140,140
GET,get_customer_orders,992,0,3,6.20949325210888,0.9729291778057814,55.92219694517553,6368.0,5.534081897121165,0.0,2,4,6,7,11,20,44,48,56,56,56
GET,get_detail,3079,0,4,5.853306693948997,0.8182767778635025,82.13806990534067,10364.0,17.176852985117005,0.0,2,4,6,6,10,16,44,47,57,82,82
GET,get_index,7222,0,3,6.0542193017678185,0.7943690288811922,90.50663001835346,8688.0,40.28945510182365,0.0,2,3,6,7,12,19,42,45,65,91,91
GET,get_item,4695,0,48,52.77734865817312,41.85298201628029,140.60868695378304,286.0,26.192050914298257,0.0,46,48,52,53,80,86,91,95,140,140,140
GET,get_orders,1304,0,49,54.64444363895415,42.65031008981168,143.60109181143343,2.0,7.274639913151209,0.0,47,49,53,56,83,88,91,93,100,140,140
GET,get_related,3079,0,49,52.53784508536926,42.943429900333285,138.65339709445834,760.0,17.176852985117005,0.0,47,49,53,54,60,85,92,96,140,140,140
GET,get_tags,2770,0,48,51.48038362339475,42.10303514264524,118.03445592522621,107.0,15.45303110385648,0.0,47,48,52,53,58,83,90,93,100,120,120
GET,login,995,0,53,61.96577925768555,44.27090007811785,147.44180697016418,13.0,5.550818031890685,0.0,50,53,70,85,92,97,100,110,150,150,150
,Aggregated,63064,0,46,35.57697035265102,0.7802420295774937,147.44180697016418,2640.384910567043,351.81586770166246,0.0,5,46,50,52,57,83,90,93,110,140,150
