Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,375,0,8,10.141608052576581,5.465016001835465,65.19958493299782,0.0,2.0925201870358077,0.0,7,8,10,11,13,16,47,49,65,65,65
GET,get_address,375,0,47,47.28940695834657,42.4032281152904,79.84154485166073,283.0,2.0925201870358077,0.0,44,47,48,49,52,53,60,64,80,80,80
GET,get_basket,375,0,2,2.9127878112097583,0.8451731409877539,48.66305086761713,23020.0,2.0925201870358077,0.0,2,2,3,3,4,6,12,27,49,49,49
GET,get_card,375,0,47,47.28485634550452,43.33886387757957,92.03955694101751,17.0,2.0925201870358077,0.0,44,47,48,48,52,52,56,85,92,92,92
GET,get_cart,10667,0,47,47.93771540928044,42.176426853984594,153.81299890577793,615.1761507452892,59.52243422696257,0.0,45,47,49,50,52,53,64,81,93,150,150
GET,get_catalogue1,6206,0,3,4.086128370374167,1.689723925665021,52.14748508296907,1643.0,34.6298140819846,0.0,3,3,4,4,5,7,15,36,46,52,52
GET,get_catalogue2,614,0,46,47.38870008199412,41.71538515947759,86.80259389802814,22.0,3.4261530529066295,0.0,45,46,49,50,50,51,61,79,87,87,87
GET,get_catalogue3,614,0,4,4.6005966384509875,1.9580009393393993,44.97540183365345,1927.0,3.4261530529066295,0.0,3,4,5,5,7,9,14,18,45,45,45
GET,get_category,614,0,2,3.0531369734415934,0.8555878885090351,47.74707811884582,11518.0,3.4261530529066295,0.0,2,2,3,3,4,7,17,38,48,48,48
GET,get_customer,4462,0,47,47.235040738896885,42.76722716167569,92.45289908722043,353.5405647691618,24.898200198810066,0.0,44,47,48,49,52,53,56,64,88,92,92
GET,get_customer_orders,2486,0,2,3.185128014364631,0.8299991022795439,56.65072798728943,6368.0,13.872013826589383,0.0,2,2,3,3,4,6,21,44,52,57,57
GET,get_detail,989,0,2,3.0969693400794442,0.8989081252366304,52.77914786711335,10364.0,5.518673239942437,0.0,1,2,2,3,4,6,32,44,53,53,53
GET,get_index,5831,0,2,2.7465221491330682,0.738886883482337,54.47404598817229,8688.0,32.53729389494879,0.0,2,2,3,3,4,6,12,24,48,54,54
GET,get_item,4222,0,46,46.92484456320059,42.01626195572317,90.9980540163815,286.0,23.55898727910715,0.0,44,46,48,49,51,52,56,60,88,91,91
GET,get_orders,2859,0,47,48.19884895960774,42.41159092634916,92.35660010017455,2.0,15.953373905961,0.0,46,47,50,50,51,53,69,82,91,92,92
GET,get_related,989,0,47,47.125170444288074,42.99827478826046,92.39568491466343,760.0,5.518673239942437,0.0,44,47,48,48,52,53,57,72,92,92,92
GET,get_tags,614,0,45,46.59932558288258,42.799043003469706,91.83114394545555,107.0,3.4261530529066295,0.0,44,45,48,48,50,53,56,64,92,92,92
GET,login,2488,0,49,51.77655671915965,44.41984207369387,149.0673189982772,13.0,13.883173934253573,0.0,48,49,52,52,56,61,85,92,150,150,150
,Aggregated,45155,0,44,30.751452403471603,0.738886883482337,153.81299890577793,2528.031048610342,251.96733078827174,0.0,3,44,48,48,51,52,56,69,91,150,150
