Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,75,0,7,7.540749122854322,5.2017460111528635,13.601550017483532,0.0,0.4185880974961071,0.0,7,7,8,8,9,9,11,14,14,14,14
GET,get_address,75,0,44,45.42625396124398,43.48435904830694,52.16933198971674,283.0,0.4185880974961071,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_basket,75,0,2,2.2936798251854875,1.0221460252068937,44.73569296533242,23020.0,0.4185880974961071,0.0,1,2,2,2,2,3,5,45,45,45,45
GET,get_card,75,0,44,45.31299145271381,43.5110799735412,51.37363797985017,17.0,0.4185880974961071,0.0,44,44,48,48,48,48,48,51,51,51,51
GET,get_cart,3002,0,46,46.02836972695613,42.52383601851761,56.37750402092934,123.6199200532978,16.754686249110847,0.0,44,46,48,48,49,51,52,52,55,56,56
GET,get_catalogue1,1531,0,3,3.030916010852353,1.7481290269643068,10.430652007926255,1643.0,8.544778363553867,0.0,3,3,3,3,4,4,4,6,10,10,10
GET,get_catalogue2,557,0,46,46.6525082670184,42.31468198122457,55.17037399113178,22.0,3.1087142707377553,0.0,46,46,47,49,50,50,51,51,55,55,55
GET,get_catalogue3,557,0,3,3.3458375626559667,2.1107129869051278,8.898433996364474,1927.0,3.1087142707377553,0.0,3,3,4,4,4,4,4,5,9,9,9
GET,get_category,557,0,2,2.685297246586826,0.8346579852513969,48.14128001453355,11518.0,3.1087142707377553,0.0,1,2,2,2,2,2,44,44,48,48,48
GET,get_customer,1471,0,44,45.07415326864425,43.30631502671167,56.04478798341006,188.0509857239973,8.20990788555698,0.0,44,44,48,48,48,48,51,52,52,56,56
GET,get_customer_orders,208,0,2,2.050608523579565,0.9900450240820646,44.158124015666544,6368.0,1.160884323722537,0.0,1,2,2,2,2,2,2,6,44,44,44
GET,get_detail,632,0,2,2.214244346737072,1.024732948280871,48.044900002423674,10364.0,3.5273023682338627,0.0,1,2,2,2,2,2,3,44,48,48,48
GET,get_index,1456,0,2,2.080437372709499,0.9533300180919468,48.03416499635205,8688.0,8.12619026605776,0.0,1,2,2,2,2,2,3,7,48,48,48
GET,get_item,989,0,46,45.931110155796475,41.98758798884228,55.9799270122312,286.0,5.519781712315332,0.0,44,46,47,48,49,50,51,51,56,56,56
GET,get_orders,283,0,46,46.97858283107824,42.59714198997244,54.5319719822146,2.0,1.5794724212186442,0.0,46,46,48,48,50,51,52,52,55,55,55
GET,get_related,630,0,44,45.244896795419564,43.4736319584772,56.03857198730111,760.0,3.5161400189672998,0.0,44,44,48,48,48,48,52,52,56,56,56
GET,get_tags,557,0,44,44.920584452137874,43.00927498843521,52.15570703148842,107.0,3.1087142707377553,0.0,44,44,44,48,48,48,48,52,52,52,52
GET,login,209,0,48,49.461650124051424,47.226343012880534,56.17448699194938,13.0,1.1664654983558185,0.0,48,48,52,52,52,52,56,56,56,56,56
,Aggregated,12939,0,44,28.86218259978417,0.8346579852513969,56.37750402092934,2609.3313239044746,72.2148185800284,0.0,3,44,46,47,48,49,51,52,55,56,56
