Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,469,0,10,15.789068120071041,4.409290966577828,70.8895000279881,0.0,2.6164522658322373,0.0,7,10,14,17,49,55,63,66,71,71,71
GET,get_address,468,0,48,52.63514127771362,43.45271602505818,109.4762469874695,283.0,2.610873476352851,0.0,47,48,53,53,60,92,97,100,110,110,110
GET,get_basket,468,0,3,6.726698087390043,1.0104129905812442,58.00218100193888,23020.0,2.610873476352851,0.0,2,3,5,6,12,42,52,56,58,58,58
GET,get_card,468,0,49,55.10299217065848,43.30723703606054,104.90859899437055,17.0,2.610873476352851,0.0,47,49,53,56,88,92,97,100,100,100,100
GET,get_cart,15814,0,48,54.234126735629786,41.77328397054225,142.1423580031842,103.97578095358543,88.22297682701706,0.0,46,48,52,54,85,92,98,100,130,140,140
GET,get_catalogue1,9330,0,5,9.877530595499548,1.7179000424221158,98.97355700377375,1643.0,52.05010584267543,0.0,3,5,8,9,37,45,51,56,86,99,99
GET,get_catalogue2,908,0,48,53.47789624936177,42.22063400084153,125.67818898241967,22.0,5.065540847282882,0.0,46,48,52,54,81,87,91,95,130,130,130
GET,get_catalogue3,907,0,6,11.051451254691498,1.9285379676148295,69.97579103335738,1927.0,5.059962057803496,0.0,4,6,10,12,37,50,58,62,70,70,70
GET,get_category,911,0,4,13.223448954765407,0.9413430234417319,83.97630002582446,11518.0,5.082277215721041,0.0,2,4,28,38,43,46,49,52,84,84,84
GET,get_customer,6489,0,49,55.44509295752913,42.73519502021372,110.98124203272164,345.18908922792417,36.20076493173857,0.0,47,49,54,56,88,94,100,100,110,110,110
GET,get_customer_orders,3744,0,4,13.570876261798972,0.8220009622164071,91.432158020325,6368.0,20.88698781082281,0.0,2,4,17,39,44,47,51,54,87,91,91
GET,get_detail,1375,0,3,6.324135217307643,0.8661450119689107,87.21911301836371,10364.0,7.670835534156346,0.0,2,3,5,6,10,42,48,51,85,87,87
GET,get_index,8862,0,4,9.083775671530423,0.8054419886320829,94.68751802342013,8688.0,49.43923236632258,0.0,2,4,6,8,39,46,51,54,86,95,95
GET,get_item,6049,0,48,53.485387224309264,42.00649098493159,131.53797801351175,286.0,33.746097560808536,0.0,46,48,52,55,78,92,99,100,120,130,130
GET,get_orders,4210,0,50,55.1502218287197,42.431053007021546,145.12385096168146,2.0,23.486703708216886,0.0,47,50,54,56,85,90,94,98,140,150,150
GET,get_related,1374,0,49,53.003990819868854,42.872307007201016,105.07704899646342,760.0,7.66525674467696,0.0,47,49,53,54,63,91,96,100,100,110,110
GET,get_tags,907,0,48,54.41319076001671,42.62918804306537,111.38235195539892,107.0,5.059962057803496,0.0,46,48,52,55,87,92,96,99,110,110,110
GET,login,3752,0,56,67.1772837657875,43.89036796055734,146.5091159916483,13.0,20.9316181266579,0.0,51,56,89,92,96,100,100,110,130,150,150
,Aggregated,66505,0,46,37.75884888361531,0.8054419886320829,146.5091159916483,2411.873768889557,371.0173943265948,0.0,6,46,51,52,64,89,96,100,130,140,150
