Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,403,0,19,34.22229079094602,4.078758007381111,151.0179729666561,0.0,2.24750128963721,0.0,10,19,52,55,70,96,110,120,150,150,150
GET,get_address,403,0,53,61.656885039149124,43.448776996228844,140.30856097815558,283.0,2.24750128963721,0.0,48,53,65,82,94,99,100,110,140,140,140
GET,get_basket,403,0,6,11.552348259487479,1.1850649607367814,60.345454956404865,23020.0,2.24750128963721,0.0,3,6,12,16,37,47,54,56,60,60,60
GET,get_card,403,0,56,63.27546582047113,43.287445965688676,132.6875169761479,17.0,2.24750128963721,0.0,49,56,78,84,92,98,100,100,130,130,130
GET,get_cart,19510,0,56,66.5514864078458,42.2704050433822,195.97309397067875,39.03459764223475,108.80583166457063,0.0,49,56,84,87,95,100,130,130,140,190,200
GET,get_catalogue1,10010,0,18,26.3358381527409,1.6811930108815432,104.10538798896596,1643.0,55.82503203292424,0.0,6,18,43,45,50,56,85,91,99,100,100
GET,get_catalogue2,3707,0,75,68.7502073641435,42.06437699031085,144.86795698758215,22.0,20.67366570889612,0.0,49,75,85,86,91,96,130,130,140,140,140
GET,get_catalogue3,3707,0,13,24.402256513761603,1.8083559698425233,106.81088897399604,1927.0,20.67366570889612,0.0,8,13,47,50,56,60,66,89,100,110,110
GET,get_category,3711,0,10,14.798096153928165,0.9279510122723877,107.45806898921728,11518.0,20.695973414004182,0.0,6,10,17,19,40,46,53,57,95,110,110
GET,get_customer,9499,0,57,64.91830625916377,42.68656298518181,148.7557619693689,175.56827034424677,52.97522270536937,0.0,50,57,83,88,95,99,100,110,140,150,150
GET,get_customer_orders,1291,0,9,14.669125381755078,0.996988033875823,96.13076195819303,6368.0,7.199811823626893,0.0,5,9,17,20,42,48,54,59,90,96,96
GET,get_detail,4105,0,7,13.184732650707268,0.8252880070358515,98.39840704808012,10364.0,22.893282367148252,0.0,4,7,15,17,41,49,55,58,92,98,98
GET,get_index,9607,0,9,13.82603505224496,0.7110789883881807,92.21509302733466,8688.0,53.577530743287035,0.0,5,9,16,19,40,47,53,55,75,92,92
GET,get_item,6201,0,56,67.07972356802861,41.91367095336318,147.24459499120712,286.0,34.58251984377255,0.0,49,56,85,88,93,100,130,130,140,150,150
GET,get_orders,1693,0,58,68.34144720990443,43.46236999845132,139.2796619911678,2.0,9.441736186987088,0.0,49,58,85,87,92,99,130,130,140,140,140
GET,get_related,4099,0,55,64.70253969729902,42.872130987234414,167.98827302409336,760.0,22.859820809486163,0.0,49,55,83,88,96,100,110,130,140,170,170
GET,get_tags,3707,0,58,65.33386127768014,42.702345992438495,144.38192499801517,107.0,20.67366570889612,0.0,51,58,84,89,96,99,100,110,140,140,140
GET,login,1295,0,87,80.43875119785515,46.92801699275151,187.54291901132092,13.0,7.222119528734955,0.0,57,87,97,99,100,110,140,150,160,190,190
,Aggregated,83754,0,49,47.721361441037075,0.7110789883881807,195.97309397067875,2600.215380757934,467.08988340514856,0.0,15,49,65,80,90,96,100,130,140,160,200
