Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,596,0,7,6.823669895494588,4.051562980748713,22.440091997850686,0.0,3.326302353582503,0.0,6,7,7,8,8,9,10,11,22,22,22
GET,get_address,595,0,45,46.11659699086366,43.109657999593765,52.48612101422623,283.0,3.3207213093650827,0.0,44,45,48,48,48,51,52,52,52,52,52
GET,get_basket,596,0,2,2.1889395873146693,0.928075984120369,44.270625978242606,23020.0,3.326302353582503,0.0,1,2,2,2,3,3,4,5,44,44,44
GET,get_card,595,0,44,45.972680585936274,43.08268096065149,56.56024604104459,17.0,3.3207213093650827,0.0,44,44,48,48,48,51,52,52,57,57,57
GET,get_cart,6629,0,46,46.3905346314302,42.30629501398653,82.69964798819274,315.9465982802836,36.99674211727922,0.0,44,46,48,48,50,51,52,52,60,83,83
GET,get_catalogue1,3151,0,3,3.0741349688343353,1.663248986005783,25.529818958602846,1643.0,17.58587032909139,0.0,3,3,3,3,4,4,6,7,15,26,26
GET,get_catalogue2,716,0,46,46.46387114010715,42.02652402454987,57.61190201155841,22.0,3.99602765967294,0.0,46,46,47,49,50,51,51,51,58,58,58
GET,get_catalogue3,716,0,3,3.4164562781553394,1.9481439958326519,11.769164993893355,1927.0,3.99602765967294,0.0,3,3,4,4,4,5,7,9,12,12,12
GET,get_category,716,0,2,2.1330852665699105,0.8641679887659848,48.32856496796012,11518.0,3.99602765967294,0.0,1,2,2,2,2,3,4,5,48,48,48
GET,get_customer,3480,0,44,45.91928412027165,42.966703011188656,71.57858699792996,365.451724137931,19.42203387662267,0.0,44,44,48,48,48,51,52,53,60,72,72
GET,get_customer_orders,857,0,2,2.2978387748449824,0.8038340019993484,48.12245798530057,6368.0,4.782954894329204,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_detail,1312,0,2,2.1725382160117834,0.8071970078162849,49.03828201349825,10364.0,7.322330013255443,0.0,1,2,2,2,2,3,4,44,48,49,49
GET,get_index,2556,0,2,2.0374747317744175,0.803208036813885,48.30836702603847,8688.0,14.265149019726305,0.0,1,2,2,2,2,3,3,7,48,48,48
GET,get_item,3359,0,45,45.94143937423245,41.75552702508867,67.57429399294779,286.0,18.74672752631481,0.0,44,45,48,48,49,50,51,52,56,68,68
GET,get_orders,1452,0,47,47.167858858802866,42.24609100492671,60.792977979872376,2.0,8.103676203694286,0.0,45,47,49,50,51,52,52,53,58,61,61
GET,get_related,1310,0,44,45.79470725876691,42.8400689852424,80.78256598673761,760.0,7.3111679248206025,0.0,44,44,48,48,48,49,52,52,68,81,81
GET,get_tags,716,0,44,45.458350850639256,42.94139100238681,52.26711498107761,107.0,3.99602765967294,0.0,44,44,48,48,48,48,49,51,52,52,52
GET,login,861,0,48,49.57678360029196,44.09770801430568,76.29049202660099,13.0,4.805279071198885,0.0,48,48,52,52,52,53,56,56,76,76,76
,Aggregated,30213,0,44,31.194256998383832,0.803208036813885,82.69964798819274,2495.3669612418494,168.62008894091974,0.0,3,44,48,48,48,50,52,52,58,77,83
