Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1391,0,52,51.646765839963976,4.6338040847331285,302.0418640226126,0.0,7.756725902940028,0.0,33,52,64,67,91,98,120,150,300,300,300
GET,get_address,1388,0,62,71.1847908041032,42.941146064549685,139.9102120194584,283.0,7.73999680322125,0.0,51,62,94,96,100,100,130,130,140,140,140
GET,get_basket,1389,0,11,17.38726277081356,0.9177629835903645,94.09290202893317,23020.0,7.745573169794176,0.0,5,11,23,27,48,53,59,65,90,94,94
GET,get_card,1388,0,65,71.33439241216374,43.29624609090388,156.60583693534136,17.0,7.73999680322125,0.0,55,65,91,93,98,100,110,110,150,160,160
GET,get_cart,16405,0,60,69.019025133638,42.20090596936643,314.2704180208966,308.3295336787565,91.48029362885059,0.0,49,60,88,92,99,110,130,140,200,280,310
GET,get_catalogue1,7918,0,33,27.25737277709428,1.8894620006904006,139.74923500791192,1643.0,44.15367052442785,0.0,7,33,41,42,50,58,85,91,130,140,140
GET,get_catalogue2,1786,0,77,71.30338131486097,42.42680408060551,156.10200900118798,22.0,9.959390699245787,0.0,51,77,83,84,89,96,130,140,150,160,160
GET,get_catalogue3,1786,0,21,30.22420941304503,2.209226950071752,99.05555297154933,1927.0,9.959390699245787,0.0,7,21,53,56,61,77,89,91,95,99,99
GET,get_category,1786,0,13,16.352668066544528,0.9965760400518775,94.91437498945743,11518.0,9.959390699245787,0.0,6,14,19,21,41,48,54,57,92,95,95
GET,get_customer,8491,0,64,70.19787804892557,42.88100800476968,161.36700694914907,358.3799316923802,47.348928570714435,0.0,52,64,91,93,99,100,110,130,140,160,160
GET,get_customer_orders,2154,0,12,16.69320324230455,1.0125739499926567,104.40980596467853,6368.0,12.011493598082545,0.0,5,12,21,24,43,50,56,62,93,100,100
GET,get_detail,3171,0,6,15.125175230119886,0.8994999807327986,99.70856399741024,10364.0,17.68265840274826,0.0,3,6,21,27,48,53,58,63,94,100,100
GET,get_index,6531,0,12,16.37148925814395,0.8020070381462574,97.8910670382902,8688.0,36.41925008777953,0.0,5,12,21,24,43,51,57,60,89,98,98
GET,get_item,8099,0,57,67.71890214653112,41.74011806026101,166.116425069049,286.0,45.162992874127454,0.0,49,57,85,90,97,100,130,130,140,170,170
GET,get_orders,3541,0,73,71.14758891523893,42.587834992446005,148.45901494845748,2.0,19.74591403473087,0.0,51,73,85,88,96,100,130,140,150,150,150
GET,get_related,3167,0,64,70.51622951188588,43.03105303552002,167.68419893924147,760.0,17.660352936456555,0.0,51,64,91,93,99,100,120,130,150,170,170
GET,get_tags,1786,0,64,69.62692974712012,42.94234700500965,158.46440591849387,107.0,9.959390699245787,0.0,53,64,89,92,97,100,100,110,160,160,160
GET,login,2174,0,92,86.1706110836125,44.733545975759625,221.72292997129261,13.0,12.123020929541065,0.0,64,92,99,100,110,130,140,160,200,220,220
,Aggregated,74351,0,51,53.45882754459751,0.8020070381462574,314.2704180208966,2499.3018251267636,414.608431063619,0.0,35,51,78,85,96,100,120,130,160,260,310
