Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,485,0,9,15.89716680602353,4.727032035589218,82.99090003129095,0.0,2.705800064063047,0.0,7,9,15,19,45,52,55,57,83,83,83
GET,get_address,484,0,48,50.72575706862537,43.181285029277205,103.18719106726348,283.0,2.7002210948587932,0.0,47,48,52,53,56,64,86,92,100,100,100
GET,get_basket,484,0,3,5.045978781528587,1.0086200200021267,53.75135806389153,23020.0,2.7002210948587932,0.0,2,3,5,6,9,14,41,47,54,54,54
GET,get_card,484,0,48,51.51881029697574,43.069983017630875,131.0746769886464,17.0,2.7002210948587932,0.0,47,48,52,53,60,80,88,92,130,130,130
GET,get_cart,14702,0,48,53.04093151629808,42.140773963183165,140.57506108656526,207.102775132635,82.02200524093797,0.0,46,48,52,54,77,84,89,93,120,140,140
GET,get_catalogue1,8616,0,4,9.05458164532036,1.7382149817422032,89.94764997623861,1643.0,48.06839866384992,0.0,3,4,7,8,35,41,46,49,56,90,90
GET,get_catalogue2,824,0,48,52.63201433764567,42.25016001146287,94.75934703368694,22.0,4.5970706243050525,0.0,46,48,51,53,78,84,87,90,95,95,95
GET,get_catalogue3,824,0,6,8.116638497421201,1.7731809057295322,92.4155559623614,1927.0,4.5970706243050525,0.0,4,6,8,10,15,20,44,48,92,92,92
GET,get_category,824,0,3,6.040996772003161,0.8100040722638369,91.03137894999236,11518.0,4.5970706243050525,0.0,2,3,5,6,13,20,42,47,91,91,91
GET,get_customer,6089,0,48,51.80912884491415,42.84845700021833,130.23919996339828,352.3609788142552,33.97034348470081,0.0,47,48,53,54,60,79,88,93,100,130,130
GET,get_customer_orders,3479,0,3,6.361160671205125,0.8644150802865624,71.34216197300702,6368.0,19.40923386159864,0.0,2,3,6,7,14,27,42,47,55,71,71
GET,get_detail,1309,0,3,4.725581339707725,0.8487369632348418,59.67398197390139,10364.0,7.3028706883681,0.0,2,3,4,5,7,15,37,45,54,60,60
GET,get_index,8132,0,3,5.31483177848715,0.7730950601398945,59.709190973080695,8688.0,45.36817756899113,0.0,2,3,5,6,11,16,36,42,53,60,60
GET,get_item,5748,0,48,51.84535014289742,41.88508598599583,133.3868890069425,286.0,32.0679149860503,0.0,46,48,52,53,61,82,89,93,100,130,130
GET,get_orders,3959,0,49,53.93948091186271,42.2099360730499,134.10424499306828,2.0,22.08713907964042,0.0,47,49,53,55,80,84,88,91,100,130,130
GET,get_related,1307,0,48,50.92292791989567,42.89809090550989,99.81028898619115,760.0,7.291712749959593,0.0,47,48,52,53,57,66,86,89,97,100,100
GET,get_tags,824,0,48,50.07469470319406,42.709020897746086,131.24413695186377,107.0,4.5970706243050525,0.0,45,48,52,52,56,64,83,94,130,130,130
GET,login,3484,0,53,60.898882858043514,43.89968595933169,131.92346203140914,13.0,19.43712870761991,0.0,50,53,65,78,88,93,99,100,130,130,130
,Aggregated,62058,0,46,35.306338172109804,0.7730950601398945,140.57506108656526,2431.2790776370493,346.2196708775764,0.0,5,46,50,52,57,79,88,92,100,130,140
