Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,807,0,7,7.280635438591722,4.003252950496972,91.61291900090873,0.0,4.504582176844969,0.0,6,7,8,8,9,11,14,18,92,92,92
GET,get_address,804,0,45,46.36677549338195,43.078704038634896,81.08444092795253,283.0,4.487836518194987,0.0,44,45,48,48,49,52,52,53,81,81,81
GET,get_basket,806,0,2,2.7432472139733286,0.8591599762439728,49.26372005138546,23020.0,4.499000290628309,0.0,1,2,2,2,3,4,12,44,49,49,49
GET,get_card,805,0,47,46.42431312298506,42.81609191093594,68.01726901903749,17.0,4.493418404411647,0.0,44,47,48,48,51,52,52,54,68,68,68
GET,get_cart,8882,0,46,46.79651150033335,41.95771005470306,138.86368705425411,216.60470614726412,49.578313376377956,0.0,44,46,48,49,50,52,53,56,85,140,140
GET,get_catalogue1,4233,0,3,3.257555996560435,1.7858310602605343,51.02219502441585,1643.0,23.62812435512361,0.0,3,3,3,3,4,5,7,9,33,51,51
GET,get_catalogue2,925,0,46,46.79082136689308,41.94891802035272,85.70741396397352,22.0,5.163244750410899,0.0,46,46,48,50,50,51,51,54,86,86,86
GET,get_catalogue3,925,0,3,3.729748334987341,1.908477977849543,41.306521045044065,1927.0,5.163244750410899,0.0,3,3,4,4,5,6,8,13,41,41,41
GET,get_category,925,0,2,2.621519458354325,0.8571071084588766,49.67812995892018,11518.0,5.163244750410899,0.0,1,2,2,2,3,5,13,43,50,50,50
GET,get_customer,4648,0,45,46.393719212808875,42.812342988327146,87.15070597827435,370.6153184165232,25.94460713503769,0.0,44,45,48,48,49,52,53,56,76,87,87
GET,get_customer_orders,1190,0,2,2.577839090250151,0.7401399780064821,48.954162979498506,6368.0,6.642444597825914,0.0,1,2,2,2,3,4,13,36,48,49,49
GET,get_detail,1732,0,2,2.3614154857993084,0.8164870087057352,48.529429943300784,10364.0,9.667826927255868,0.0,1,2,2,2,3,3,7,44,48,49,49
GET,get_index,3429,0,2,2.307949784817758,0.7653119973838329,63.4142350172624,8688.0,19.14028783692862,0.0,1,2,2,2,3,3,7,33,48,63,63
GET,get_item,4528,0,46,46.39424872245268,41.5725139901042,87.32911304105073,286.0,25.274780789038438,0.0,44,46,48,48,50,51,52,53,76,87,87
GET,get_orders,1993,0,47,47.503095121126165,42.35664592124522,90.63937002792954,2.0,11.124699229804241,0.0,46,47,49,50,51,52,53,56,78,91,91
GET,get_related,1730,0,45,46.32942699558085,42.96753800008446,89.69393908046186,760.0,9.656663154822548,0.0,44,45,48,48,49,52,53,54,80,90,90
GET,get_tags,925,0,44,45.99856134793545,42.947207926772535,83.98566395044327,107.0,5.163244750410899,0.0,44,44,48,48,48,51,52,53,84,84,84
GET,login,1193,0,48,49.76973477163573,43.974085012450814,107.43429197464138,13.0,6.659190256475895,0.0,48,48,52,52,52,53,56,64,88,110,110
,Aggregated,40480,0,44,31.592379865173196,0.7401399780064821,138.86368705425411,2467.920750988142,225.9547540504143,0.0,3,44,48,48,49,51,52,53,80,110,140
