Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,221,0,7,6.912034740292244,4.631808027625084,19.381682039238513,0.0,1.2334833340691234,0.0,6,7,7,7,8,9,11,11,19,19,19
GET,get_address,221,0,44,45.975812251481535,43.08827896602452,52.790465066209435,283.0,1.2334833340691234,0.0,44,44,48,48,48,51,52,53,53,53,53
GET,get_basket,221,0,2,2.5491106199581024,0.9007769403979182,47.92900406755507,23020.0,1.2334833340691234,0.0,1,2,2,2,2,3,8,44,48,48,48
GET,get_card,221,0,47,46.42241655446471,43.22189895901829,76.21196995023638,17.0,1.2334833340691234,0.0,44,47,48,48,48,52,52,53,76,76,76
GET,get_cart,7515,0,46,46.422629605195496,42.285886011086404,80.47155907843262,200.8779773785762,41.944014730902545,0.0,44,46,48,48,50,51,52,53,65,80,80
GET,get_catalogue1,4418,0,3,3.0999649206719004,1.730652991682291,28.283975087106228,1643.0,24.658503936277768,0.0,3,3,3,3,4,4,5,7,12,28,28
GET,get_catalogue2,451,0,46,46.64665248844888,42.14286804199219,57.218482019379735,22.0,2.5171990211093873,0.0,46,46,48,50,50,51,51,51,57,57,57
GET,get_catalogue3,450,0,3,3.4329803494943514,1.9691199995577335,14.002760988660157,1927.0,2.5116176485570385,0.0,3,3,4,4,4,5,8,10,14,14,14
GET,get_category,451,0,2,2.324639700049588,0.9471110533922911,47.89859103038907,11518.0,2.5171990211093873,0.0,1,2,2,2,2,3,6,44,48,48,48
GET,get_customer,3098,0,44,45.824186422704585,43.014341965317726,67.06423393916339,341.20529373789543,17.291092167177123,0.0,44,44,48,48,48,51,52,52,57,67,67
GET,get_customer_orders,1757,0,2,2.3755873391785336,0.8818429196253419,48.934465972706676,6368.0,9.806471574477149,0.0,1,2,2,2,3,3,5,44,48,49,49
GET,get_detail,671,0,2,2.4322055543227408,0.8289089892059565,49.64972904417664,10364.0,3.7451009826261616,0.0,1,2,2,2,2,3,7,44,50,50,50
GET,get_index,4197,0,2,2.0827250374307553,0.7381740724667907,49.39444805495441,8688.0,23.425020602208644,0.0,1,2,2,2,2,3,4,8,48,49,49
GET,get_item,2869,0,45,45.87898962215919,41.77727911155671,60.53260003682226,286.0,16.01295785268921,0.0,44,45,48,48,49,50,52,52,53,61,61
GET,get_orders,1977,0,47,47.29934913485717,42.55189001560211,75.99127106368542,2.0,11.034373535993922,0.0,46,47,50,50,51,51,52,53,66,76,76
GET,get_related,671,0,44,45.68843027398451,43.15915098413825,76.2507850304246,760.0,3.7451009826261616,0.0,44,44,48,48,48,51,52,52,76,76,76
GET,get_tags,450,0,44,45.58287231587909,42.8402730030939,65.56210399139673,107.0,2.5116176485570385,0.0,44,44,48,48,48,49,52,53,66,66,66
GET,login,1758,0,48,49.47713433016055,43.983326060697436,80.58568998239934,13.0,9.812052947029496,0.0,48,48,52,52,52,53,56,56,80,81,81
,Aggregated,31617,0,44,29.367164228203468,0.7381740724667907,80.58568998239934,2437.3800170794193,176.46625598761753,0.0,3,44,47,48,49,51,52,52,61,76,81
