Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1241,0,11,17.292543855667606,4.9528899835422635,96.22509602922946,0.0,6.924116082415506,0.0,8,11,18,23,45,51,56,58,93,96,96
GET,get_address,1236,0,49,51.644537328613595,43.19523193407804,108.41039393562824,283.0,6.8962187573453395,0.0,48,49,52,53,59,65,87,92,110,110,110
GET,get_basket,1238,0,4,5.435461074419272,0.9409410413354635,53.74312191270292,23020.0,6.907377687373406,0.0,2,4,5,6,9,15,41,44,49,54,54
GET,get_card,1236,0,49,52.415948432928985,43.07004704605788,103.92240807414055,17.0,6.8962187573453395,0.0,47,49,53,55,60,82,88,90,100,100,100
GET,get_cart,13957,0,49,53.59985190092539,42.038881103508174,143.51392595563084,213.8579924052447,77.8725932008648,0.0,47,49,53,55,78,84,90,93,120,140,140
GET,get_catalogue1,6683,0,5,9.408074274536384,1.728384057059884,96.12288104835898,1643.0,37.287564688785515,0.0,3,5,7,9,35,41,46,48,73,96,96
GET,get_catalogue2,1468,0,48,53.751295072893164,41.833812021650374,96.97457798756659,22.0,8.190654640601098,0.0,46,48,53,56,80,84,88,91,97,97,97
GET,get_catalogue3,1468,0,6,8.55866453125984,2.0962529815733433,64.901411999017,1927.0,8.190654640601098,0.0,4,6,9,10,15,22,44,48,64,65,65
GET,get_category,1469,0,3,6.169280177077381,0.9446230251342058,83.84518802631646,11518.0,8.196234105615131,0.0,2,3,6,7,13,19,38,46,84,84,84
GET,get_customer,7273,0,49,52.68262478569503,42.500079958699644,126.95657403673977,367.0859342774646,40.57944904706525,0.0,47,49,53,55,61,81,89,92,100,130,130
GET,get_customer_orders,1864,0,4,6.0626972644577855,0.8750479901209474,92.04271796625108,6368.0,10.400122786158343,0.0,3,4,6,7,11,17,38,45,88,92,92
GET,get_detail,2709,0,3,5.277214211199657,0.8232700638473034,55.99773093126714,10364.0,15.114770723016605,0.0,2,3,5,5,9,28,39,43,52,56,56
GET,get_index,5448,0,3,5.63161485331771,0.8034129859879613,88.27383699826896,8688.0,30.396925396454215,0.0,2,3,5,6,11,17,38,43,54,88,88
GET,get_item,7040,0,48,52.406347060092564,42.07183909602463,133.52354802191257,286.0,39.27943369879546,0.0,46,48,52,53,74,82,88,92,100,130,130
GET,get_orders,3098,0,50,54.16221054972963,42.893180972896516,123.59777791425586,2.0,17.285182613475616,0.0,47,50,53,56,79,85,89,93,100,120,120
GET,get_related,2705,0,49,51.923596332677725,42.718916083686054,104.05345004983246,760.0,15.09245286296047,0.0,47,49,53,54,59,77,89,92,99,100,100
GET,get_tags,1468,0,48,50.71973291167682,42.79259208124131,97.2129120491445,107.0,8.190654640601098,0.0,47,48,52,53,57,64,83,88,97,97,97
GET,login,1875,0,54,61.359516163294515,44.34409097302705,136.75435399636626,13.0,10.461496901312712,0.0,51,54,67,80,88,93,98,100,120,140,140
,Aggregated,63476,0,47,37.40692078811042,0.8034129859879613,143.51392595563084,2470.549089419623,354.162121230787,0.0,7,47,51,52,59,80,88,92,100,130,140
