Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1159,0,10,16.90240593647586,4.139882046729326,366.1858420819044,0.0,6.466152892343887,0.0,8,10,15,18,47,51,56,59,94,370,370
GET,get_address,1156,0,48,51.39149686766331,43.115883017890155,101.60645702853799,283.0,6.4494156544862244,0.0,48,48,52,53,56,62,87,88,97,100,100
GET,get_basket,1156,0,4,5.603491411033605,0.8988929912447929,90.85759799927473,23020.0,6.4494156544862244,0.0,3,4,5,6,9,13,43,46,56,91,91
GET,get_card,1156,0,49,52.5205793370981,43.057307950221,104.0091710165143,17.0,6.4494156544862244,0.0,48,49,53,53,59,83,92,95,98,100,100
GET,get_cart,13045,0,49,54.305068741332285,42.127570952288806,452.7312029385939,109.28631659639709,72.77908928440553,0.0,47,49,53,55,82,86,91,93,130,450,450
GET,get_catalogue1,6247,0,5,9.98871342263885,1.6181860119104385,88.18856999278069,1643.0,34.85250829894069,0.0,3,5,8,9,39,43,48,50,56,88,88
GET,get_catalogue2,1374,0,48,53.48215062219346,42.1337210573256,99.03342800680548,22.0,7.665654938809751,0.0,46,48,52,53,81,85,89,91,98,99,99
GET,get_catalogue3,1373,0,6,8.659244427838663,1.7241450259462,59.881633962504566,1927.0,7.660075859523863,0.0,5,6,9,10,14,36,46,50,60,60,60
GET,get_category,1374,0,4,5.809866811987284,0.8674580603837967,56.769768008962274,11518.0,7.665654938809751,0.0,2,4,5,6,10,15,42,46,52,57,57
GET,get_customer,6797,0,49,52.22419643522102,42.68324188888073,103.83637493941933,367.0095630425188,37.92100190617895,0.0,48,49,53,53,58,83,89,92,100,100,100
GET,get_customer_orders,1741,0,4,6.009834053383745,0.8529920596629381,83.15874403342605,6368.0,9.713177036730551,0.0,2,4,6,6,10,15,44,47,52,83,83
GET,get_detail,2531,0,3,6.272020902729721,0.8846300188452005,83.05452507920563,10364.0,14.120649672581862,0.0,2,3,5,6,10,38,44,47,52,83,83
GET,get_index,5091,0,3,5.420541216759624,0.7586650317534804,54.95459807571024,8688.0,28.40309264445447,0.0,2,3,5,6,10,14,41,44,52,55,55
GET,get_item,6578,0,48,52.81354034635671,41.94858996197581,134.1913939686492,286.0,36.699183542569536,0.0,46,48,52,53,78,85,90,92,100,130,130
GET,get_orders,2894,0,50,54.12482453555862,42.434699018485844,133.97417298983783,2.0,16.14585545335911,0.0,47,50,53,55,81,87,91,94,110,130,130
GET,get_related,2528,0,49,51.57249950598616,42.93758200947195,99.78457307443023,760.0,14.103912434724199,0.0,47,49,52,53,57,74,88,91,99,100,100
GET,get_tags,1374,0,48,50.45446340337645,42.4234070815146,100.9464010130614,107.0,7.665654938809751,0.0,47,48,52,52,56,60,87,92,100,100,100
GET,login,1751,0,53,62.04792229311891,43.863323982805014,409.98978703282773,13.0,9.768967829589428,0.0,51,53,65,84,91,95,100,100,150,410,410
,Aggregated,59325,0,47,37.61731398539336,0.7586650317534804,452.7312029385939,2447.03603876949,330.97887863529,0.0,6,47,51,52,57,83,88,92,100,370,450
