Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1441,0,50,45.32122443080153,5.217220983467996,158.7495260173455,0.0,8.036776069640752,0.0,17,50,57,59,89,98,110,110,150,160,160
GET,get_address,1439,0,56,64.31724945982224,43.48604695405811,141.4790169801563,283.0,8.025621626796003,0.0,52,56,84,88,93,97,100,110,140,140,140
GET,get_basket,1440,0,8,12.321435828198446,1.274719019420445,95.01433500554413,23020.0,8.031198848218377,0.0,6,8,12,13,41,46,50,54,90,95,95
GET,get_card,1439,0,56,65.9990360362674,43.51297207176685,143.05667497683316,17.0,8.025621626796003,0.0,52,56,87,89,95,99,100,130,140,140,140
GET,get_cart,16866,0,61,70.23504259340392,42.282250011339784,194.93024493567646,106.19275465433417,94.06541650975774,0.0,51,61,88,90,94,98,100,130,150,190,190
GET,get_catalogue1,8111,0,39,29.60363691503607,1.8649519188329577,145.1827510027215,1643.0,45.23684295687448,0.0,8,39,47,49,52,55,87,93,100,150,150
GET,get_catalogue2,1835,0,81,71.13064906137363,43.260606937110424,141.6815259726718,22.0,10.234201310056056,0.0,50,81,88,90,93,97,110,130,140,140,140
GET,get_catalogue3,1835,0,13,23.159331793907004,2.4113969411700964,105.19261797890067,1927.0,10.234201310056056,0.0,9,13,44,48,53,56,61,88,100,110,110
GET,get_category,1835,0,9,13.92094212595617,1.311951084062457,95.71245103143156,11518.0,10.234201310056056,0.0,6,9,13,15,44,47,51,54,92,96,96
GET,get_customer,8752,0,56,65.08873677479711,42.93909401167184,148.9862750750035,359.1343692870201,48.81184188861614,0.0,52,56,85,88,94,98,100,110,140,150,150
GET,get_customer_orders,2215,0,8,13.467413965879643,1.1954259825870395,94.0591290127486,6368.0,12.353545450558128,0.0,6,8,12,14,43,47,51,54,87,94,94
GET,get_detail,3271,0,7,15.003078201569581,0.8833470055833459,90.7919550081715,10364.0,18.243091272584937,0.0,5,7,15,37,44,47,50,53,83,91,91
GET,get_index,6672,0,8,13.496613124808704,1.0047490941360593,96.8347960151732,8688.0,37.21122133007848,0.0,6,8,13,15,43,47,51,53,89,97,97
GET,get_item,8361,0,57,68.67893432161915,42.36664099153131,144.33751197066158,286.0,46.63114831246795,0.0,51,57,88,89,93,97,100,130,140,140,140
GET,get_orders,3652,0,69,71.89336814420341,43.40540594421327,147.96569396276027,2.0,20.368012634509384,0.0,52,69,89,91,95,99,110,130,140,150,150
GET,get_related,3269,0,56,65.54256150844137,43.52059797383845,148.9898789441213,760.0,18.23193682974019,0.0,52,56,87,89,94,99,100,110,140,150,150
GET,get_tags,1835,0,55,63.21347129857295,43.194739962928,149.04419402591884,107.0,10.234201310056056,0.0,51,55,80,87,92,97,100,100,140,150,150
GET,login,2223,0,91,85.36967057257127,47.17879602685571,189.93723602034152,13.0,12.39816322193712,0.0,60,91,100,100,110,140,150,150,190,190,190
,Aggregated,76491,0,52,52.15339003361229,0.8833470055833459,194.93024493567646,2453.012027558798,426.60724381879993,0.0,39,52,82,86,92,97,100,130,150,190,190
