Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1433,0,47,39.916298318467774,4.926225054077804,147.52644603140652,0.0,7.992918189031619,0.0,15,47,55,56,61,93,99,100,150,150,150
GET,get_address,1430,0,55,62.295172133212716,43.56002702843398,141.11706300172955,283.0,7.976184933925482,0.0,51,55,65,84,92,96,100,100,140,140,140
GET,get_basket,1430,0,7,11.33310929587163,0.9964859345927835,83.38399301283062,23020.0,7.976184933925482,0.0,5,7,10,12,39,45,50,54,65,83,83
GET,get_card,1430,0,55,62.53780736001794,43.10185299254954,138.14862095750868,17.0,7.976184933925482,0.0,52,55,67,85,91,95,99,100,140,140,140
GET,get_cart,16443,0,57,67.00388620129263,42.778697912581265,148.04594893939793,108.42553062093292,91.71497123673895,0.0,51,57,85,87,92,96,100,100,140,150,150
GET,get_catalogue1,7918,0,13,25.664169317683953,1.7467919969931245,102.9881410067901,1643.0,44.16463797679857,0.0,7,13,45,47,50,53,57,90,98,100,100
GET,get_catalogue2,1732,0,54,66.77099780533645,42.66782698687166,139.4381069112569,22.0,9.660665947943311,0.0,49,54,86,88,91,93,97,100,140,140,140
GET,get_catalogue3,1731,0,11,19.728454406917148,2.3871950106695294,99.15594500489533,1927.0,9.655088196241264,0.0,9,11,20,43,50,54,58,62,96,99,99
GET,get_category,1733,0,8,11.87289210348898,1.208928064443171,94.3010930204764,11518.0,9.666243699645356,0.0,5,8,11,13,38,46,50,53,83,94,94
GET,get_customer,8529,0,55,61.7190466137727,42.97903005499393,143.29184300731868,364.8265916285614,47.572644266748554,0.0,51,55,63,83,91,95,99,100,140,140,140
GET,get_customer_orders,2213,0,7,11.653129923619478,1.1272509582340717,95.21607495844364,6368.0,12.343564516627335,0.0,5,7,11,12,40,46,51,53,88,95,95
GET,get_detail,3164,0,7,13.412510998529122,0.8222659816965461,81.21777803171426,10364.0,17.648006385272883,0.0,4,7,12,21,42,46,49,51,62,81,81
GET,get_index,6488,0,7,11.811933565630609,0.9866629261523485,98.15919504035264,8688.0,36.18845304287309,0.0,5,7,11,13,39,46,50,53,89,98,98
GET,get_item,8230,0,55,65.4697632214523,42.292948928661644,145.76311002019793,286.0,45.90489650783686,0.0,50,55,85,87,91,94,98,100,140,150,150
GET,get_orders,3638,0,58,68.53389276780133,43.608842068351805,146.74578292760998,2.0,20.29186069204259,0.0,51,58,87,89,93,96,100,130,140,150,150
GET,get_related,3161,0,54,61.656340459206696,42.643961030989885,140.03046799916774,760.0,17.631273130166747,0.0,51,54,64,84,91,95,99,100,140,140,140
GET,get_tags,1732,0,54,61.15120325539171,42.837015935219824,137.89366802666336,107.0,9.660665947943311,0.0,50,54,63,83,91,95,99,100,140,140,140
GET,login,2226,0,88,80.08447244385992,47.28107096161693,189.72894502803683,13.0,12.416075288753932,0.0,57,88,96,98,100,110,140,140,190,190,190
,Aggregated,74661,0,51,49.09829229010261,0.8222659816965461,189.72894502803683,2448.6044655174724,416.44051982644083,0.0,16,51,62,82,90,94,99,100,140,150,190
