Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,8,7.837697323835031,5.782429012469947,11.384006938897073,0.0,0.4297706465939987,0.0,7,8,8,8,9,10,11,11,11,11,11
GET,get_address,77,0,44,45.93566052657975,43.614563066512346,52.04030696768314,283.0,0.4297706465939987,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_basket,77,0,2,2.5673073613653323,1.1526900343596935,47.94752201996744,23020.0,0.4297706465939987,0.0,2,2,2,2,2,3,17,48,48,48,48
GET,get_card,77,0,44,46.17927528089275,43.381846975535154,55.67242903634906,17.0,0.4297706465939987,0.0,44,44,48,48,52,52,53,56,56,56,56
GET,get_cart,4400,0,46,46.56833843619097,42.10845893248916,88.76855403650552,41.02159090909091,24.55832266251421,0.0,44,46,48,48,50,51,52,53,71,89,89
GET,get_catalogue1,2296,0,3,3.254926635042881,1.7019819933921099,46.16842092946172,1643.0,12.814979280257417,0.0,3,3,4,4,4,5,6,8,28,46,46
GET,get_catalogue2,803,0,46,46.74001527236308,42.04808396752924,72.47560902033001,22.0,4.4818938859088435,0.0,45,46,47,49,50,51,51,60,72,72,72
GET,get_catalogue3,803,0,3,3.7279046886655065,1.8554290290921926,38.079126039519906,1927.0,4.4818938859088435,0.0,3,3,4,4,5,6,7,9,38,38,38
GET,get_category,803,0,2,2.3706853073693415,0.8652490796521306,47.93922905810177,11518.0,4.4818938859088435,0.0,1,2,2,2,3,3,7,24,48,48,48
GET,get_customer,2104,0,44,46.058727391522304,42.87145705893636,85.6748609803617,176.8954372623574,11.743343382256796,0.0,44,44,48,48,48,52,52,53,77,86,86
GET,get_customer_orders,345,0,2,1.8439015164377466,1.0011849226430058,11.274185962975025,6368.0,1.9255957542198643,0.0,1,2,2,2,2,3,4,7,11,11,11
GET,get_detail,880,0,2,2.5702810432200995,0.9659999050199986,48.54247998446226,10364.0,4.911664532502843,0.0,2,2,2,2,3,3,5,44,49,49,49
GET,get_index,2219,0,2,2.1377028672863174,0.8027589647099376,48.23291697539389,8688.0,12.385208633663417,0.0,1,2,2,2,3,3,4,10,44,48,48
GET,get_item,1378,0,46,46.1603530983546,41.989853023551404,59.02790802065283,286.0,7.691220142941951,0.0,44,46,48,48,50,50,51,52,57,59,59
GET,get_orders,421,0,47,47.39334898853714,42.66172798816115,90.03369498532265,2.0,2.3497849638451096,0.0,46,47,49,50,50,51,52,54,90,90,90
GET,get_related,880,0,44,45.8413967530677,42.647331953048706,89.59849295206368,760.0,4.911664532502843,0.0,44,44,48,48,48,51,52,52,90,90,90
GET,get_tags,803,0,44,45.64412602323199,42.910882038995624,92.09558996371925,107.0,4.4818938859088435,0.0,44,44,48,48,48,49,52,52,92,92,92
GET,login,345,0,48,49.53910259199261,47.06483404152095,96.81948705110699,13.0,1.9255957542198643,0.0,48,48,52,52,52,52,56,56,97,97,97
,Aggregated,18788,0,44,29.002116978099487,0.8027589647099376,96.81948705110699,2591.2688950393867,104.86403776893569,0.0,3,44,47,48,48,50,52,52,69,92,97
