Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,382,0,11,24.090539122485502,5.746103008277714,149.70013906713575,0.0,2.130530853993026,0.0,9,11,40,50,61,66,71,76,150,150,150
GET,get_address,380,0,48,56.85577587604425,43.24392799753696,111.37681698892266,283.0,2.1193762421920153,0.0,47,48,55,58,93,100,110,110,110,110,110
GET,get_basket,380,0,3,10.493499611651426,0.9663020027801394,78.77405895851552,23020.0,2.1193762421920153,0.0,2,3,8,11,44,50,53,57,79,79,79
GET,get_card,380,0,50,60.32895763637498,43.16339397337288,109.00087200570852,17.0,2.1193762421920153,0.0,47,50,80,85,92,96,100,100,110,110,110
GET,get_cart,16312,0,49,57.69529456798189,42.42900898680091,268.7465220224112,117.38303089749877,90.9770138490425,0.0,47,49,56,61,91,100,120,130,140,270,270
GET,get_catalogue1,8326,0,7,12.757178007982091,1.6634030034765601,107.70282195881009,1643.0,46.43664892760715,0.0,4,7,13,15,38,50,61,84,100,110,110
GET,get_catalogue2,3069,0,52,56.20411667845653,41.978184948675334,146.2357530836016,22.0,17.116751808650776,0.0,48,52,58,59,77,87,95,100,140,150,150
GET,get_catalogue3,3069,0,10,22.169895094381474,1.95652199909091,138.72350798919797,1927.0,17.116751808650776,0.0,5,10,45,51,58,62,66,68,81,140,140
GET,get_category,3069,0,27,22.95682360069919,0.8273290004581213,87.32423197943717,11518.0,17.116751808650776,0.0,3,27,41,43,47,51,56,62,84,87,87
GET,get_customer,7988,0,53,64.60050942571137,42.52258699852973,134.31553496047854,182.22984476715072,44.55151953323636,0.0,48,53,87,89,95,99,100,110,120,130,130
GET,get_customer_orders,1091,0,5,17.467387092934015,0.9778820676729083,99.44143402390182,6368.0,6.084840737451286,0.0,2,5,37,39,46,50,57,64,85,99,99
GET,get_detail,3450,0,5,12.746646615399884,0.8551670471206307,102.67097607720643,10364.0,19.241705356743296,0.0,3,5,11,18,47,53,59,61,87,100,100
GET,get_index,7948,0,5,15.34192502738781,0.7133150938898325,100.30358005315065,8688.0,44.32842729721615,0.0,2,5,31,36,45,51,58,65,92,100,100
GET,get_item,5299,0,50,57.45490812584034,41.96035605855286,146.65941090788692,286.0,29.554143966777602,0.0,46,50,58,64,90,98,100,110,140,150,150
GET,get_orders,1470,0,52,57.78430674049281,42.79267997480929,140.95577294938266,2.0,8.198639673742795,0.0,48,52,59,61,86,96,110,120,140,140,140
GET,get_related,3448,0,51,58.99446146318115,42.74935193825513,140.1067809201777,760.0,19.230550744942285,0.0,48,51,61,69,94,100,100,110,130,140,140
GET,get_tags,3069,0,56,67.96377910944882,42.55523800384253,142.3181559657678,107.0,17.116751808650776,0.0,48,56,90,92,96,100,100,100,130,140,140
GET,login,1093,0,75,73.94326065059015,44.65685004834086,208.31372507382184,13.0,6.095995349252297,0.0,52,75,93,95,100,100,110,120,190,210,210
,Aggregated,70223,0,47,42.710452573983986,0.7133150938898325,268.7465220224112,2612.803255343691,391.6551522511839,0.0,11,47,53,57,87,95,100,110,140,210,270
