Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1716525153,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1716525154,10,,Aggregated,0.000000,0.000000,18,21,23,23,28,34,38,39,44,44,44,195,0,18,19.119222687097647,4.3284960120217875,43.50251999858301,55720.69743589743
1716525155,12,,Aggregated,0.000000,0.000000,18,20,21,23,26,31,36,38,47,47,47,425,0,18,17.205407310462117,3.4306319867027923,47.36217900062911,53992.32235294118
1716525156,12,,Aggregated,0.000000,0.000000,16,19,21,22,26,28,34,37,47,47,47,618,0,16,16.084074579109778,3.4306319867027923,47.36217900062911,53997.064724919095
1716525157,12,,Aggregated,100.500000,0.000000,14,18,20,21,25,28,34,36,47,47,47,728,0,14,14.908055296613243,3.4306319867027923,47.36217900062911,53089.87087912088
1716525158,12,,Aggregated,141.666667,0.000000,13,17,19,20,23,27,32,36,47,47,47,936,0,13,14.214615085550646,3.4282300039194524,47.36217900062911,53771.44017094017
1716525159,12,,Aggregated,157.000000,0.000000,12,16,18,19,23,26,30,34,44,47,47,1156,0,12,13.429007495691131,3.4282300039194524,47.36217900062911,53841.221453287195
1716525160,12,,Aggregated,146.800000,0.000000,12,15,17,18,22,26,29,34,44,47,47,1380,0,12,12.818409040514583,3.4282300039194524,47.36217900062911,53810.713768115944
1716525161,12,,Aggregated,156.000000,0.000000,11,14,17,18,21,25,29,33,44,47,47,1576,0,11,12.221339322293595,3.4282300039194524,47.36217900062911,53753.54885786802
1716525162,12,,Aggregated,165.285714,0.000000,10,13,16,17,21,24,28,32,44,47,47,1750,0,10,11.847003897086584,3.2515859929844737,47.36217900062911,54036.67371428572
1716525163,12,,Aggregated,172.500000,0.000000,10,13,15,17,20,23,28,31,44,47,47,1921,0,10,11.537378425219638,3.2515859929844737,47.36217900062911,54044.45445080687
1716525164,12,,Aggregated,175.333333,0.000000,10,12,15,16,20,23,28,31,39,47,47,2126,0,10,11.299772632133571,3.2052760070655495,47.36217900062911,53969.93603010348
1716525165,12,,Aggregated,175.300000,0.000000,10,12,14,16,20,23,27,31,39,47,47,2326,0,10,11.052930751856328,3.2052760070655495,47.36217900062911,53807.13198624248
1716525166,12,,Aggregated,192.200000,0.000000,10,12,14,16,19,23,27,30,39,47,47,2532,0,10,10.967399833279668,3.2052760070655495,47.36217900062911,53934.47867298578
1716525167,12,,Aggregated,192.600000,0.000000,10,12,14,16,19,22,27,30,39,47,47,2730,0,10,11.011680304688989,3.2052760070655495,47.36217900062911,53887.37032967033
1716525168,12,,Aggregated,190.100000,0.000000,10,12,14,16,19,22,26,29,39,47,47,2901,0,10,10.99678779554265,3.2052760070655495,47.36217900062911,53942.58910720441
1716525170,12,,Aggregated,199.600000,0.000000,10,12,14,16,19,22,26,29,39,47,47,3091,0,10,11.082463182738838,3.2052760070655495,47.36217900062911,53922.2846975089
1716525171,12,,Aggregated,196.500000,0.000000,10,12,14,16,19,22,27,29,39,47,47,3285,0,10,11.180602523545724,3.2052760070655495,47.36217900062911,53924.68706240487
1716525172,12,,Aggregated,193.300000,0.000000,10,12,15,16,19,23,27,29,39,47,47,3430,0,10,11.254787438730004,3.2052760070655495,47.36217900062911,53775.2084548105
1716525173,12,,Aggregated,193.300000,0.000000,10,13,15,16,20,23,27,30,39,47,47,3650,0,10,11.416594842684054,3.2052760070655495,47.36217900062911,53902.356164383564
1716525174,12,,Aggregated,185.100000,0.000000,10,13,15,16,20,23,27,30,39,47,47,3839,0,10,11.48792498456609,3.2052760070655495,47.36217900062911,53845.352175045584
1716525175,12,,Aggregated,189.700000,0.000000,10,13,15,16,20,23,28,30,39,47,47,4023,0,10,11.568780289026039,3.2052760070655495,47.36217900062911,53967.63087248322
1716525176,12,,Aggregated,191.600000,0.000000,10,13,15,16,20,23,27,30,39,47,47,4159,0,10,11.543968918426208,3.2052760070655495,47.36217900062911,53827.96465496514
1716525177,12,,Aggregated,189.300000,0.000000,10,13,15,17,20,23,27,31,39,47,47,4378,0,10,11.671591805112646,3.2052760070655495,47.36217900062911,53839.067153951575
1716525178,12,,Aggregated,182.900000,0.000000,11,13,15,17,20,23,28,31,39,47,47,4581,0,11,11.740119497004478,3.2052760070655495,47.36217900062911,53737.86815105872
1716525179,12,,Aggregated,184.300000,0.000000,10,13,15,17,20,23,28,31,39,47,47,4754,0,10,11.730540741442333,3.2052760070655495,47.36217900062911,53678.3254101809
1716525180,12,,Aggregated,184.700000,0.000000,10,13,15,17,20,23,28,31,39,47,47,4920,0,10,11.702797077222334,3.2052760070655495,47.36217900062911,53661.564024390245
1716525181,12,,Aggregated,184.800000,0.000000,10,13,15,17,20,23,28,31,39,47,47,5114,0,10,11.776070840998036,3.2052760070655495,47.36217900062911,53793.11986703168
1716525182,12,,Aggregated,182.100000,0.000000,11,13,16,17,20,24,28,32,42,47,47,5309,0,11,11.9366484350841,3.2052760070655495,47.36217900062911,53760.55735543417
1716525183,12,,Aggregated,182.700000,0.000000,11,13,15,17,20,24,28,32,42,47,47,5470,0,11,11.900203126493626,3.2052760070655495,47.36217900062911,53685.35393053017
1716525184,12,,Aggregated,187.400000,0.000000,11,13,15,17,20,24,28,32,42,47,47,5641,0,11,11.902276184549779,3.2052760070655495,47.36217900062911,53727.54706612303
1716525185,12,,Aggregated,187.400000,0.000000,11,13,15,17,20,24,28,32,42,47,47,5847,0,11,11.888731355901003,3.2052760070655495,47.36217900062911,53702.145373695916
