Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addToCart,3014,0,19,20.006076659019293,13.054922004812397,45.78251199563965,24398.27869940279,16.80930352153731,0.0,19,20,21,21,23,26,29,32,38,46,46
POST,buy,310,0,9,9.360376164700176,4.910596995614469,25.753048990736715,12132.0,1.7288931956458415,0.0,9,10,10,11,13,15,17,19,26,26,26
GET,category,6252,0,10,9.987774129102895,6.1600909975823015,29.605199000798166,118035.2333653231,34.86787180379936,0.0,10,10,11,11,12,13,15,16,25,30,30
GET,home,6403,0,5,5.585790517408124,3.304450001451187,27.2025250014849,8905.0,35.71001010232362,0.0,5,6,6,6,7,8,10,12,23,27,27
POST,login,1313,0,10,11.167462101161497,6.666457993560471,38.54478300490882,10117.0,7.322699244783838,0.0,10,11,12,12,14,16,20,22,39,39,39
GET,login_page,1313,0,5,5.58998054056588,3.436608996707946,25.42232499399688,9901.0,7.322699244783838,0.0,5,6,6,6,7,8,11,12,22,25,25
POST,logout,1312,0,10,10.74747960222051,6.112563001806848,26.769793999847025,9113.0,7.317122169959174,0.0,10,11,12,12,14,16,18,21,24,27,27
GET,profile,1313,0,8,9.01727838757505,5.258335993858054,32.537052989937365,8905.0,7.322699244783838,0.0,8,9,10,10,12,14,17,19,27,33,33
GET,view_product,6181,0,15,15.227258136943773,9.504511006525718,37.79065399430692,103132.22472091895,34.471899491248216,0.0,15,15,16,16,17,19,21,23,33,38,38
,Aggregated,27411,0,10,11.071175684706635,3.304450001451187,45.78251199563965,56899.22884973186,152.87319801886503,0.0,10,14,15,15,18,20,22,24,34,39,46
