Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addToCart,1228,0,16,16.13721041034213,12.506783001299482,39.44405399670359,24120.482084690553,6.850961142595167,0.0,16,16,17,17,18,19,21,23,37,39,39
POST,buy,159,0,6,6.767894679476557,4.699511002399959,19.842050998704508,12132.0,0.8870544150428595,0.0,6,7,7,7,8,9,11,12,20,20,20
GET,category,4501,0,8,7.947610961585107,6.021248998877127,21.86505300051067,117691.40013330372,25.110892591873654,0.0,8,8,8,8,9,10,11,12,18,22,22
GET,home,5128,0,4,4.391689455567902,3.175595003995113,18.299126000783872,8905.0,28.608899624778516,0.0,4,4,5,5,5,6,7,7,14,18,18
POST,login,933,0,8,8.37342570313302,6.677241006400436,24.467556999297813,10117.0,5.205168359968478,0.0,8,8,9,9,10,11,12,15,24,24,24
GET,login_page,934,0,4,4.318218245207468,3.3479990015621297,15.197372995316982,9901.0,5.210747318553653,0.0,4,4,5,5,5,6,7,7,15,15,15
POST,logout,932,0,8,8.087660567551117,5.961597002169583,20.200434999424033,9113.0,5.199589401383303,0.0,8,8,9,9,10,11,12,13,20,20,20
GET,profile,933,0,6,6.625010358954636,5.143381000380032,25.98040500015486,8905.0,5.205168359968478,0.0,6,7,7,7,8,9,10,11,26,26,26
GET,view_product,3081,0,12,12.426803749141973,9.557019002386369,46.36261999985436,103391.85329438494,17.188771400924846,0.0,12,13,13,13,14,15,16,18,33,46,46
,Aggregated,17829,0,7,8.022705075506158,3.175595003995113,46.36261999985436,53899.907341970946,99.46725261508895,0.0,7,8,11,12,13,15,17,18,26,42,46
