Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addToCart,1810,0,17,17.75786583638269,12.10387399623869,49.367967003490776,24190.471270718233,10.096113039757507,0.0,17,18,19,19,21,22,25,26,48,49,49
POST,buy,781,0,8,8.580230126933182,4.9987279999186285,22.28989399736747,12132.0,4.356389107210283,0.0,8,9,10,10,11,13,14,16,22,22,22
GET,category,5359,0,9,8.96575072121345,6.076439000025857,29.998407000675797,118058.203396156,29.892303745889766,0.0,9,9,10,10,11,12,13,14,20,30,30
GET,home,5516,0,5,4.971940770879695,2.9017069973633625,15.821476001292467,8905.0,30.768043937736135,0.0,5,5,5,6,6,7,8,9,14,16,16
POST,login,1229,0,9,9.636713951218727,6.605982001929078,26.387452002381906,10117.0,6.855316533625401,0.0,9,10,11,11,12,13,15,17,25,26,26
GET,login_page,1229,0,5,4.860327890194849,3.397480002604425,13.468835997628048,9901.0,6.855316533625401,0.0,5,5,5,5,6,7,8,9,11,13,13
POST,logout,1228,0,9,9.42008614171965,6.0854620023746975,29.154802999983076,9113.0,6.849738570620009,0.0,9,10,10,11,12,13,15,16,22,29,29
GET,profile,1228,0,7,7.731754756552044,5.18405600450933,20.70174900291022,8905.0,6.849738570620009,0.0,7,8,8,9,10,11,13,14,21,21,21
GET,view_product,3776,0,13,13.426211868926334,9.052856999915093,37.97086399572436,103162.85831567796,21.06238830835599,0.0,13,14,14,14,15,16,18,19,36,38,38
,Aggregated,22156,0,8,9.202576338842007,2.9017069973633625,49.367967003490776,52867.165372810974,123.5853483474405,0.0,8,10,12,13,15,17,19,21,28,43,49
