Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addToCart,3106,0,33,34.12894331006958,12.670379001065157,85.4232609999599,29269.313264649067,17.2809576972703,0.0,33,37,39,41,45,49,53,57,74,85,85
POST,buy,388,0,22,22.257801301513854,4.845209001359763,48.232625998934964,12132.0,2.1587287786673777,0.0,22,25,27,29,34,37,43,46,48,48,48
GET,category,11636,0,17,17.139893009890393,6.243211002583848,53.96517799817957,117792.46493640426,64.73960842415879,0.0,17,19,20,21,23,25,28,31,43,54,54
GET,home,13299,0,11,11.434176822246286,3.0742790004296694,42.44100100186188,8905.0,73.99209800901407,0.0,11,13,14,15,17,19,22,24,31,36,42
POST,login,2405,0,22,22.72440601282936,6.236113000340993,60.0771130011708,10117.0,13.38078018735836,0.0,22,26,28,29,32,35,39,42,51,60,60
GET,login_page,2405,0,11,11.539285713112129,3.173553999658907,31.208339001750574,9901.0,13.38078018735836,0.0,11,13,14,15,17,19,22,23,28,31,31
POST,logout,2402,0,22,22.75204086803566,5.9653150019585155,54.658918001223356,9113.0,13.364088985461448,0.0,22,26,28,29,33,36,40,42,50,55,55
GET,profile,2405,0,19,19.94767019831426,4.653766001865733,50.54029600069043,8905.0,13.38078018735836,0.0,19,22,25,26,29,33,36,39,48,51,51
GET,view_product,7881,0,23,24.10155170826547,9.189060001517646,75.9319239987235,122174.58355538637,43.847787383189704,0.0,23,26,27,28,31,34,38,42,66,76,76
,Aggregated,45927,0,17,18.314205022185337,3.0742790004296694,85.4232609999599,57460.4383913602,255.52560983983676,0.0,17,21,23,25,30,34,40,44,59,74,85
