Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addToCart,3588,0,31,32.14666296087168,12.974017998203635,89.76625499781221,29307.38684503902,19.968451583582063,0.0,31,34,36,38,42,46,51,54,74,90,90
POST,buy,1818,0,18,19.216028230472062,4.869298005360179,50.52532799891196,12132.0,10.117794029808302,0.0,18,21,23,25,28,31,36,39,48,51,51
GET,category,11131,0,16,16.52654470142336,6.054258992662653,59.776844005682506,117996.18075644596,61.94783572376029,0.0,16,18,19,20,22,24,27,30,40,51,60
GET,home,11404,0,10,10.875140178841056,2.9062500107102096,39.557891999720596,8905.0,63.46717443120675,0.0,10,12,13,14,16,18,21,23,30,38,40
POST,login,2592,0,21,21.306460506955908,6.792045998736285,59.85229699581396,10117.0,14.425369705865302,0.0,21,23,25,26,30,33,37,40,57,60,60
GET,login_page,2592,0,10,10.73329332785076,3.360179005539976,32.779485001810826,9901.0,14.425369705865302,0.0,10,12,13,13,16,17,21,23,32,33,33
POST,logout,2588,0,20,21.121855433099377,6.261119007831439,57.59532599768136,9113.0,14.403108332862423,0.0,20,23,25,26,29,33,37,40,46,58,58
GET,profile,2592,0,18,18.522451018949972,5.473790995893069,44.77111699816305,8905.0,14.425369705865302,0.0,18,20,22,23,27,30,34,37,43,45,45
GET,view_product,7449,0,23,23.09888703541001,9.533670003293082,70.28474101389293,122206.64626124312,41.45624187461058,0.0,23,24,26,26,29,32,36,39,56,70,70
,Aggregated,45754,0,17,17.83534204804433,2.9062500107102096,89.76625499781221,55755.76246885518,254.63671509342632,0.0,17,20,22,24,28,33,38,42,55,73,90
