Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addToCart,5296,0,74,73.31606785603039,13.264535999041982,154.3443459959235,29541.026812688822,29.59961733575178,0.0,74,80,84,87,94,100,110,110,140,150,150
POST,buy,523,0,57,56.33847305553842,6.609460993786342,111.30065300676506,12132.0,2.923073992937723,0.0,57,62,66,69,75,81,87,91,110,110,110
GET,category,11056,0,37,37.8380216535635,6.671136012300849,92.36333200533409,118022.6127894356,61.792554619348884,0.0,37,42,45,47,52,56,61,67,81,88,92
GET,home,11353,0,28,29.311470897781383,3.398312008357607,91.05645399540663,8905.0,63.45250294803436,0.0,28,32,35,37,42,47,53,58,76,90,91
POST,login,2320,0,60,58.56269796736185,6.82647799840197,111.48580499866512,10117.0,12.966599739226611,0.0,60,65,68,70,76,82,89,93,110,110,110
GET,login_page,2320,0,28,28.68322159729046,3.3789130102377385,84.57449400157202,9901.0,12.966599739226611,0.0,28,32,34,35,39,42,48,54,80,85,85
POST,logout,2309,0,60,59.18899753804104,6.742099008988589,131.44758599810302,9113.0,12.905120171497519,0.0,60,66,69,71,77,83,90,94,120,130,130
GET,profile,2320,0,58,56.587141744195584,5.2962089976063,111.13222200947348,8905.0,12.966599739226611,0.0,58,63,66,68,74,79,88,93,110,110,110
GET,view_product,10899,0,45,45.03405478114747,10.316371990484186,143.02801199664827,121943.64070098175,60.91507351630639,0.0,45,49,52,54,59,64,70,77,110,140,140
,Aggregated,48396,0,41,44.01280010516322,3.3789130102377385,154.3443459959235,61698.442081990244,270.48774180155647,0.0,41,49,55,59,71,80,90,97,120,140,150
