Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,admin_create_contact,6,0,12,13.639707500260556,11.648163002973888,16.26595300331246,260.0,0.03348086004211479,0.0,12,15,16,16,16,16,16,16,16,16,16
POST,admin_create_user,6,0,150.0,147.35302399882735,130.94541800091974,160.5724009932601,235.0,0.03348086004211479,0.0,140,150,150,150,160,160,160,160,160,160,160
POST,admin_login,6,0,92,95.34966450034214,89.78623699658783,104.11197000212269,341.0,0.03348086004211479,0.0,91,97,99,99,100,100,100,100,100,100,100
GET,cancel_order,57,0,31,32.7145598774925,24.87654099968495,62.58478100062348,52.0,0.3180681704000905,0.0,29,31,34,35,38,44,59,63,63,63,63
GET,collect_ticket,221,0,13,13.997712221853403,9.547011002723593,27.486733000841923,40.0,1.2332116782178948,0.0,12,13,15,15,17,20,22,23,27,27,27
PUT,create_consign,57,0,19,19.301725228535616,15.589877002639696,28.568062996782828,391.0,0.3180681704000905,0.0,18,19,21,21,23,25,26,29,29,29,29
GET,enter_station,221,0,13,13.96145229389163,9.569537003699224,55.569995995028876,41.0,1.2332116782178948,0.0,12,13,13,14,16,19,28,53,56,56,56
GET,get_assurance_types,336,0,3,2.853086821579338,2.213003004726488,4.350439994595945,108.0,1.8749281623584282,0.0,3,3,3,3,3,3,4,4,4,4,4
GET,get_food_types,336,0,10,12.287163449443705,8.08403500559507,83.60359800281003,1020.0,1.8749281623584282,0.0,10,10,11,11,12,17,67,80,84,84,84
POST,get_order_information,777,0,3,3.744846964008136,2.061639999737963,91.19613200164167,12333.706563706564,4.335771375453866,0.0,3,3,3,3,4,4,11,28,91,91,91
POST,get_trip_information,1478,0,24,30.79815160896483,15.80463899881579,194.70041200111154,635.5,8.247451857040943,0.0,22,24,29,31,49,85,100,110,190,190,190
GET,home,739,0,1,1.0372958322489951,0.5683900017174892,6.805013996199705,18119.0,4.1237259285204715,0.0,1,1,1,1,1,1,2,2,7,7,7
POST,login,6,0,86,81.73628649819875,60.073623004427645,96.57416199479485,412.0,0.03348086004211479,0.0,72,88,88,88,97,97,97,97,97,97,97
POST,pay_order,221,0,35,38.57721724844805,29.178727003454696,168.65195700665936,60.0,1.2332116782178948,0.0,33,35,39,41,46,54,77,120,170,170,170
POST,preserve_ticket,335,0,74,93.05002312523438,59.57003799994709,308.45498900453094,46.0,1.8693480190180758,0.0,68,74,99,110,150,200,230,230,310,310,310
GET,query_contacts,336,0,3,3.3001001371693355,2.647653003805317,13.320182006282266,246.0,1.8749281623584282,0.0,3,3,3,3,4,4,5,5,13,13,13
,Aggregated,5138,0,12,20.681516541288158,0.5683900017174892,308.45498900453094,4759.337096146361,28.670776482730965,0.0,3,12,24,28,56,77,110,140,230,310,310
