Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,admin_create_contact,32,0,11,12.950067531164677,9.763378999195993,20.743535002111457,260.0,0.178506346627148,0.0,11,11,16,16,18,20,21,21,21,21,21
POST,admin_create_user,32,0,140.0,143.9579564689666,122.56709299981594,208.96544599963818,235.0,0.178506346627148,0.0,130,140,140,150,170,180,210,210,210,210,210
POST,admin_login,32,0,57,65.91582931059747,55.001468004775234,113.57665099785663,341.0,0.178506346627148,0.0,57,58,62,73,100,110,110,110,110,110,110
GET,cancel_order,2,0,311.750906999805,562.7104324958054,311.750906999805,813.6699579918059,52.0,0.01115664666419675,0.0,310,810,810,810,810,810,810,810,810,810,810
GET,collect_ticket,45,0,200.0,249.82095622270006,12.37107599445153,1090.8483129896922,40.0,0.2510245499444269,0.0,100,200,290,300,810,900,1100,1100,1100,1100,1100
PUT,create_consign,7,0,16,17.67929243214894,14.33230000839103,26.388673009932972,391.0,0.03904826332468863,0.0,15,16,18,18,26,26,26,26,26,26,26
GET,enter_station,44,0,200.0,231.55077565851653,11.048802000004798,896.902117994614,41.0,0.2454462266123285,0.0,120,200,290,300,390,400,900,900,900,900,900
GET,get_assurance_types,71,0,2,2.5482195914021206,1.7246229981537908,10.318875007214956,108.0,0.39606095657898466,0.0,2,2,3,3,3,4,4,10,10,10,10
GET,get_food_types,71,0,11000.0,11149.373772350988,6.525542004965246,25798.74265800754,1020.0,0.39606095657898466,0.0,7500,11000,14000,15000,19000,21000,26000,26000,26000,26000,26000
POST,get_order_information,144,0,92,168.5461089373348,3.2942079997155815,987.6428770076018,724.2569444444445,0.803278559822166,0.0,6,92,180,190,690,780,900,980,990,990,990
POST,get_trip_information,254,0,15000.0,13442.993575567127,26.052405999507755,21789.151037010015,508.5787401574803,1.4168941263529873,0.0,12000,15000,17000,17000,18000,19000,20000,21000,22000,22000,22000
GET,home,86,0,1,0.972004117292547,0.6510910025099292,1.5764980053063482,18119.0,0.4797358065604603,0.0,1,1,1,1,1,1,2,2,2,2,2
POST,login,32,0,74,79.8768026857033,66.89602899132296,125.42524399759714,412.0,0.178506346627148,0.0,71,75,80,84,92,130,130,130,130,130,130
POST,pay_order,45,0,370.0,472.62132795585785,37.72616999049205,1164.718512998661,60.0,0.2510245499444269,0.0,290,370,810,910,1000,1100,1200,1200,1200,1200,1200
POST,preserve_ticket,56,2,24000.0,26280.716428428474,368.78727898874786,60002.753869004664,51.107142857142854,0.31238610659750904,0.01115664666419675,16000,24000,34000,35000,56000,60000,60000,60000,60000,60000,60000
GET,query_contacts,73,0,3,3.2694128225158825,2.460606992826797,4.819341993425041,246.0,0.4072176032431814,0.0,3,3,4,4,4,4,5,5,5,5,5
,Aggregated,1026,2,160.0,5610.383608783598,0.6510910025099292,60002.753869004664,1892.490253411306,5.723359738732933,0.01115664666419675,5,170,12000,14000,17000,19000,28000,38000,60000,60000,60000
