Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,admin_create_contact,13,0,19,18.450379153364338,8.7413760011259,28.746727999532595,260.0,0.07258003377393168,0.0,15,19,22,22,28,29,29,29,29,29,29
POST,admin_create_user,13,0,1800.0,1788.1831898462574,1103.7252140013152,2624.333566000132,235.0,0.07258003377393168,0.0,1500,1800,2000,2000,2200,2600,2600,2600,2600,2600,2600
POST,admin_login,13,0,1400.0,1211.3816685389163,562.4026440018497,1764.7598950024985,341.0,0.07258003377393168,0.0,960,1400,1600,1600,1600,1800,1800,1800,1800,1800,1800
GET,collect_ticket,22,0,200.0,269.6234642272347,13.261939999210881,795.5748669992317,40.0,0.12282774946357669,0.0,110,200,300,390,700,710,800,800,800,800,800
GET,enter_station,22,0,200.0,259.8981570455098,11.421127997891745,808.0949969989888,41.0,0.12282774946357669,0.0,110,200,290,290,700,800,810,810,810,810,810
GET,get_assurance_types,162,0,2,2.3781395309610454,1.5041249971545767,4.764959998283302,108.0,0.9044588824136102,0.0,2,2,2,3,3,3,3,4,5,5,5
GET,get_food_types,162,0,9,173.3889308580942,6.077281999750994,1610.956417000125,1020.0,0.9044588824136102,0.0,8,10,200,210,610,1000,1200,1500,1600,1600,1600
POST,get_order_information,66,0,90,101.62082703016384,2.8507999995781574,682.321618001879,2662.590909090909,0.3684832483907301,0.0,4,91,110,180,190,200,600,680,680,680,680
POST,get_trip_information,415,0,3100.0,3064.8393121276345,60.152342997753294,6307.963923998614,570.0457831325301,2.3169780012447423,0.0,2400,3100,3800,3900,4400,4800,5200,5300,6300,6300,6300
GET,home,168,0,1,1.0478799285920104,0.5404310031735804,2.666499000042677,18119.0,0.9379573595400402,0.0,1,1,1,1,1,1,2,2,3,3,3
POST,login,13,0,1200.0,952.4261779224616,374.7898649999115,1389.1145119996509,412.0,0.07258003377393168,0.0,680,1200,1200,1300,1300,1400,1400,1400,1400,1400,1400
POST,pay_order,22,0,300.0,489.7134479544382,107.58249799982877,1093.543533999764,60.0,0.12282774946357669,0.0,280,310,800,800,900,900,1100,1100,1100,1100,1100
POST,preserve_ticket,158,0,4300.0,4612.193129885989,2515.0869650024106,8905.99726200162,46.0,0.8821265643293236,0.0,3800,4300,5200,5400,6100,7100,7900,8300,8900,8900,8900
GET,query_contacts,162,0,3,3.304070537198618,2.236691001598956,6.059127001208253,246.0,0.9044588824136102,0.0,3,3,4,4,4,5,6,6,6,6,6
,Aggregated,1411,0,190.0,1495.7946720205464,0.5404310031735804,8905.99726200162,2626.1332388377036,7.8777252042321235,0.0,3,190,3100,3500,4300,4800,5600,6300,8300,8900,8900
